pValue,smiles,data,neg_log10_affinity_M_1,affinity_uM_1,neg_log10_affinity_M_2,affinity_uM_2,neg_log10_affinity_M_3,affinity_uM_3
7.54,O=C(c1ccc(OCCN2CCCCC2)cc1)N1c2ccc(O)cc2CCC1c1ccccc1,ERalpha_ki,7.186971664428711,0.06501721094801836,7.186971664428711,0.06501721094801836,7.186971664428711,0.06501721094801836
8.77,Oc1ccc2c(c1)CCC(c1ccccc1)N2Cc1ccc(OCCN2CCCCC2)cc1,ERalpha_ki,6.624963283538818,0.23715741966530154,6.624963283538818,0.23715741966530154,6.624963283538818,0.23715741966530154
6.77,Oc1ccc(C2CCc3cc(O)ccc3N2)cc1,ERalpha_ki,5.4336748123168945,3.6840472164842453,5.4336748123168945,3.6840472164842453,5.4336748123168945,3.6840472164842453
8.96,Oc1ccc(C2CCc3cc(O)ccc3N2Cc2ccc(OCCN3CCCC3)cc2)cc1,ERalpha_ki,6.585495948791504,0.2597191968550944,6.585495948791504,0.2597191968550944,6.585495948791504,0.2597191968550944
9.22,Oc1cccc(C2CCc3cc(O)ccc3N2Cc2ccc(OCCN3CCCCC3)cc2)c1,ERalpha_ki,7.090068817138672,0.08127017274248337,7.090068817138672,0.08127017274248337,7.090068817138672,0.08127017274248337
7.06,O=C(c1ccc(OCCN2CCCCC2)cc1)N1c2ccc(O)cc2CCC1c1ccc(O)cc1,ERalpha_ki,7.493443489074707,0.03210380515644188,7.493443489074707,0.03210380515644188,7.493443489074707,0.03210380515644188
9.05,Oc1ccc(C2CCc3cc(O)ccc3N2c2ccc(OCCN3CCCC3)cc2)cc1,ERalpha_ki,5.9284348487854,1.1791394000066309,5.9284348487854,1.1791394000066309,5.9284348487854,1.1791394000066309
6.51,Oc1ccc(-c2ccc3cc(O)ccc3n2)cc1,ERalpha_ki,6.750158786773682,0.1777629354261763,6.750158786773682,0.1777629354261763,6.750158786773682,0.1777629354261763
9.3,CCC(=C(c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,ERalpha_ki,6.692861557006836,0.2028329200709956,6.692861557006836,0.2028329200709956,6.692861557006836,0.2028329200709956
7.43,O=C(c1ccc(OCCN2CCCCC2)cc1)N1c2ccc(O)cc2CCC1c1cccc(O)c1,ERalpha_ki,6.38432502746582,0.412738491482977,6.38432502746582,0.412738491482977,6.38432502746582,0.412738491482977
9.22,Oc1ccc(C2CCc3cc(O)ccc3N2Cc2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ki,6.9279937744140625,0.11803375556001182,6.9279937744140625,0.11803375556001182,6.9279937744140625,0.11803375556001182
8.6,Oc1ccc(C2CCc3cc(O)ccc3N2c2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ki,6.47482967376709,0.33509683523388334,6.47482967376709,0.33509683523388334,6.47482967376709,0.33509683523388334
7.89,C[C@@]12CCc3c(sc4cc(O)ccc34)[C@H]1CC[C@H]2O,ERalpha_ki,6.925163269042969,0.11880555048580883,6.925163269042969,0.11880555048580883,6.925163269042969,0.11880555048580883
8.1,C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CC[C@H]2O,ERalpha_ki,6.415399074554443,0.3842385417785322,6.415399074554443,0.3842385417785322,6.415399074554443,0.3842385417785322
8.0,C[C@]12CCc3c(sc4cc(O)ccc34)[C@H]1CC[C@@H]2O,ERalpha_ki,6.796130657196045,0.15990768750633938,6.796130657196045,0.15990768750633938,6.796130657196045,0.15990768750633938
7.62,C[C@@]12CCc3c(sc4cc(O)ccc34)[C@@H]1CC[C@H]2O,ERalpha_ki,6.8762898445129395,0.1329566780036491,6.8762898445129395,0.1329566780036491,6.8762898445129395,0.1329566780036491
7.64,C[C@]12CCc3c(sc4cc(O)ccc34)[C@@H]1CC[C@H]2O,ERalpha_ki,6.747049808502197,0.17904005042435037,6.747049808502197,0.17904005042435037,6.747049808502197,0.17904005042435037
8.4,C[C@]12CCc3c(sc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,ERalpha_ki,6.94114351272583,0.11451344689292071,6.94114351272583,0.11451344689292071,6.94114351272583,0.11451344689292071
6.8,Cc1cc(-c2cc(-c3ccccc3)cc(N(C)CCc3ccccc3)n2)ccc1O,ERalpha_ki,6.14582633972168,0.7147820871133195,6.14582633972168,0.7147820871133195,6.14582633972168,0.7147820871133195
6.42,Cc1cc(-c2cc(-c3ccccc3)cc(N(C)Cc3ccccc3)n2)ccc1O,ERalpha_ki,5.75439453125,1.760376120594327,5.75439453125,1.760376120594327,5.75439453125,1.760376120594327
5.7,CCOCCN(CCOCC)c1cc(-c2ccccc2)cc(-c2ccc(O)c(C)c2)n1,ERalpha_ki,7.1931376457214355,0.06410063831913972,7.1931376457214355,0.06410063831913972,7.1931376457214355,0.06410063831913972
6.18,CCCCN(C)c1cc(-c2ccccc2)cc(-c2ccc(O)c(C)c2)n1,ERalpha_ki,6.995710372924805,0.1009926172208147,6.995710372924805,0.1009926172208147,6.995710372924805,0.1009926172208147
6.35,Cc1cc(-c2cc(-c3ccccc3)cc(N(C)Cc3cccc4ccccc34)n2)ccc1O,ERalpha_ki,7.94924259185791,0.01123976958096234,7.94924259185791,0.01123976958096234,7.94924259185791,0.01123976958096234
6.21,CC(C)CN(C)c1cc(-c2ccccc2)cc(-c2ccc(O)cc2)n1,ERalpha_ki,6.40300989151001,0.39535761528333957,6.40300989151001,0.39535761528333957,6.40300989151001,0.39535761528333957
