pValue,smiles,data,neg_log10_affinity_M_1,affinity_uM_1,neg_log10_affinity_M_2,affinity_uM_2,neg_log10_affinity_M_3,affinity_uM_3
5.0,Cc1cccc(S(=O)(=O)NCC(c2ccc(C(F)(F)F)cc2)N2CCN(CC(O)COc3ccc(Br)cc3)CC2)c1,CYP2d6_ki,6.8836469650268555,0.13072330970630722,6.8836469650268555,0.13072330970630722,6.8836469650268555,0.13072330970630722
5.0,O=S(=O)(NCC(c1ccc(C(F)(F)F)cc1)N1CCN(CC(O)COc2ccc(F)cc2)CC1)c1ccccc1Cl,CYP2d6_ki,7.1971435546875,0.06351209598969494,7.1971435546875,0.06351209598969494,7.1971435546875,0.06351209598969494
5.52,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(C(F)(F)F)cc3)c3ccccc3)CC2)cc1,CYP2d6_ki,6.614254951477051,0.2430776608879393,6.614254951477051,0.2430776608879393,6.614254951477051,0.2430776608879393
5.16,O=C(NCC(c1ccccc1)N1CCN(CC(O)COc2ccccc2)CC1)c1ccc(F)cc1,CYP2d6_ki,6.867513179779053,0.13567093568527325,6.867513179779053,0.13567093568527325,6.867513179779053,0.13567093568527325
4.52,COc1ccc(OC)c(S(=O)(=O)NCC(c2ccccc2)N2CCN(CC(O)COc3ccc(Br)cc3)CC2)c1,CYP2d6_ki,4.610211372375488,24.535144924722562,4.610211372375488,24.535144924722562,4.610211372375488,24.535144924722562
6.0,Cc1cccc(C)c1OCC(O)CN1CCN(C(C(=O)NCc2ccccc2)c2ccc(C(F)(F)F)cc2)CC1,CYP2d6_ki,6.995504379272461,0.10104053119058604,6.995504379272461,0.10104053119058604,6.995504379272461,0.10104053119058604
5.4,COc1ccc(C(=O)NCC(c2ccccc2)N2CCN(CC(O)COc3ccc(Cl)cc3)CC2)cc1,CYP2d6_ki,5.494447231292725,3.2029692459673034,5.494447231292725,3.2029692459673034,5.494447231292725,3.2029692459673034
5.4,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccccc3)c3ccccc3)CC2)cc1,CYP2d6_ki,5.346963882446289,4.4981726182397255,5.346963882446289,4.4981726182397255,5.346963882446289,4.4981726182397255
5.3,COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(F)cc3)CC2)cc1,CYP2d6_ki,5.23381233215332,5.836972777451113,5.23381233215332,5.836972777451113,5.23381233215332,5.836972777451113
5.7,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(Cl)cc3)c3ccc(F)cc3)CC2)cc1,CYP2d6_ki,5.787680625915527,1.6304946348053628,5.787680625915527,1.6304946348053628,5.787680625915527,1.6304946348053628
6.16,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(OC)cc3)c3ccccc3)CC2)cc1,CYP2d6_ki,5.288805961608887,5.14273372412284,5.288805961608887,5.14273372412284,5.288805961608887,5.14273372412284
6.0,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(Cl)cc3)c3ccccc3)CC2)cc1,CYP2d6_ki,5.569069862365723,2.6973054980790474,5.569069862365723,2.6973054980790474,5.569069862365723,2.6973054980790474
5.52,COc1ccc(CNC(=O)C(c2ccc(F)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,CYP2d6_ki,6.9752421379089355,0.10586633101359812,6.9752421379089355,0.10586633101359812,6.9752421379089355,0.10586633101359812
5.1,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(OC)cc3)c3ccccc3)CC2)cc1,CYP2d6_ki,4.995698928833008,10.099527851184742,4.995698928833008,10.099527851184742,4.995698928833008,10.099527851184742
5.16,COc1ccccc1C(=O)NCC(c1ccccc1)N1CCN(CC(O)COc2ccc(Cl)cc2)CC1,CYP2d6_ki,4.7819390296936035,16.52193732300413,4.7819390296936035,16.52193732300413,4.7819390296936035,16.52193732300413
5.52,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccc(OC)cc3)c3ccc(F)cc3)CC2)cc1,CYP2d6_ki,5.66616678237915,2.156915928320591,5.66616678237915,2.156915928320591,5.66616678237915,2.156915928320591
5.7,COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C(F)(F)F)cc3)CC2)cc1,CYP2d6_ki,5.861913681030273,1.3743151023033962,5.861913681030273,1.3743151023033962,5.861913681030273,1.3743151023033962
5.7,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccccc3)c3ccccc3)CC2)cc1,CYP2d6_ki,4.980373382568359,10.462286712628385,4.980373382568359,10.462286712628385,4.980373382568359,10.462286712628385
5.3,COc1ccc(CNC(=O)C(c2ccc(OC)cc2)N2CCN(CC(O)COc3c(C)cccc3C)CC2)cc1,CYP2d6_ki,6.493382930755615,0.3210828204507624,6.493382930755615,0.3210828204507624,6.493382930755615,0.3210828204507624
5.1,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccccc3OC)c3ccccc3)CC2)cc1,CYP2d6_ki,5.195505142211914,6.375215324926975,5.195505142211914,6.375215324926975,5.195505142211914,6.375215324926975
6.0,COc1ccc(OCC(O)CN2CCC(N(C(=O)c3ccccc3)c3ccc(F)cc3)CC2)cc1,CYP2d6_ki,5.793006420135498,1.610621825327543,5.793006420135498,1.610621825327543,5.793006420135498,1.610621825327543
5.4,COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C)cc3)CC2)cc1,CYP2d6_ki,5.232738494873047,5.851423143982741,5.232738494873047,5.851423143982741,5.232738494873047,5.851423143982741
