pValue,ligand,data
4.81,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccccc3)o2)C[C@H]1C(=O)NCC(F)(F)F,CYP2d6_ic50
4.05,CCCCOc1ccc(-c2ccccn2)cc1,CYP2d6_ic50
5.22,CCCCOc1ccc(-c2c[nH]cn2)cc1,CYP2d6_ic50
6.03,CCCCOc1ccc(-c2ncc[nH]2)cc1,CYP2d6_ic50
5.11,CCCCOc1ccc(-n2cnc(C)c2)cc1,CYP2d6_ic50
5,O=C1c2ccccc2CCCN1CCN1CCC(n2c(O)nc3cc(F)ccc32)CC1,CYP2d6_ic50
5.61,CC(C)(C)NC(=O)[C@@H]1CN(C(C)(C)c2cc3cnccc3o2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,CYP2d6_ic50
4.13,COc1ccc2c(CN(C)C)cc(=O)oc2c1,CYP2d6_ic50
5.38,CC(C)(c1ncc(-c2cnccc2Cl)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,CYP2d6_ic50
5.06,COc1cncc(-c2cnc(C(C)(C)N3CCN(C[C@@H](O)C[C@@H](Cc4ccccc4)C(=O)N[C@H]4c5ccccc5OC[C@H]4O)[C@H](C(=O)NCC(F)(F)F)C3)o2)c1,CYP2d6_ic50
4.57,N=C(N)NC(=N)NCCc1ccccc1,CYP2d6_ic50
5.85,CC(C)NC[C@H](O)COc1cccc2ccccc12,CYP2d6_ic50
4.65,CC(C)(c1ncc(-c2ccccn2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,CYP2d6_ic50
5.64,CNCCC=C1c2ccccc2CCc2ccccc21,CYP2d6_ic50
0,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,CYP2d6_ic50
4.18,C1CCN2C[C@@H]3C[C@@H](CN4CCCCC34)C2C1,CYP2d6_ic50
4.62,N=C(N)N1CCc2ccccc2C1,CYP2d6_ic50
5.72,CC(C)NC[C@@H](O)COc1cccc2ccccc12,CYP2d6_ic50
4.98,CC(C)(c1ncc(-c2cccnc2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,CYP2d6_ic50
5.75,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,CYP2d6_ic50
