pValue,smiles,data
7.75,Oc1ccc([C@H]2Sc3cc(O)ccc3S[C@H]2c2ccc(OCCN3CCCC3)cc2)cc1,ERalpha_ic50
9,Oc1cccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCC3)cc2)c1,ERalpha_ic50
7.68,Oc1ccc([C@H]2Sc3cc(O)ccc3S[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ic50
7.82,Oc1cccc([C@H]2Sc3cc(O)ccc3S[C@H]2c2ccc(OCCN3CCCCC3)cc2)c1,ERalpha_ic50
8.4,Oc1cccc([C@H]2Sc3cc(O)ccc3S[C@H]2c2ccc(OCCN3CCCCC3)c(Br)c2)c1,ERalpha_ic50
8.3,Oc1ccc([C@H]2Sc3cc(O)ccc3S[C@H]2c2ccc(OCCN3CCCCC3)c(Br)c2)cc1,ERalpha_ic50
8.4,Oc1ccc([C@H]2Sc3cc(O)ccc3S[C@H]2c2ccc(OCCN3CCCC3)c(Br)c2)cc1,ERalpha_ic50
8.4,Oc1cccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)c1,ERalpha_ic50
5.64,COc1cccc2c1-c1ccc(NS(C)(=O)=O)c(Br)c1C(c1ccccc1)O2,ERalpha_ic50
8.05,Oc1ccc(C(=C(CC(F)(F)F)c2ccccc2)c2ccc(O)cc2)cc1,ERalpha_ic50
6.82,Oc1ccc(C(=Cc2ccccc2)c2ccc(O)cc2)cc1,ERalpha_ic50
6.3,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,ERalpha_ic50
7.82,CCC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1ccccc1,ERalpha_ic50
6.3,CCCCC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1ccccc1,ERalpha_ic50
7.52,CC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1ccccc1,ERalpha_ic50
7.3,CCCC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1ccccc1,ERalpha_ic50
8.15,CC/C(=C(\c1ccccc1)c1ccc(O)cc1)c1ccccc1,ERalpha_ic50
