ligand_id,cnn_affinity,pose_score,CNN affinity (best pose),pose_score (best pose)
4438,5.751,0.3589,4.853,0.4264
4441,6.808,0.4734,6.479,0.6579
4442,6.525,0.476,6.525,0.476
4443,5.937,0.383,5.937,0.383
4444,6.878,0.4727,6.402,0.6638
4446,6.525,0.3177,5.466,0.331
4448,5.15,0.4885,4.839,0.5587
4450,5.719,0.4396,5.554,0.5072
4452,5.278,0.4943,5.278,0.4943
4472,5.803,0.3889,5.428,0.598
4473,6.3,0.5232,5.614,0.6705
4474,5.966,0.4714,5.63,0.5147
4475,6.362,0.6807,5.989,0.688
4476,4.818,0.5757,4.744,0.5941
4477,4.289,0.4984,4.2,0.5422
4478,4.607,0.4602,4.607,0.4602
4479,5.133,0.6837,5.133,0.6837
4480,5.577,0.8004,5.577,0.8004
4481,4.743,0.494,4.523,0.5457
4482,5.36,0.5348,5.053,0.6242
4483,5.887,0.5323,5.506,0.5592
4484,5.459,0.2734,5.073,0.4104
4485,6.175,0.2136,5.244,0.2641
4486,6.791,0.3623,6.791,0.3623
4487,6.526,0.291,5.89,0.3011
4488,5.687,0.3581,5.103,0.429
4489,5.669,0.2901,4.663,0.3902
4491,5.0,0.4563,4.471,0.5712
4492,6.141,0.6616,6.141,0.6616
4493,5.283,0.5677,4.133,0.5784
4494,5.076,0.6421,5.076,0.6421
4495,5.568,0.5776,5.527,0.5855
4505,5.222,0.7534,5.222,0.7534
4506,5.521,0.6988,5.181,0.7051
4507,5.565,0.511,5.493,0.6775
4508,5.312,0.6184,5.093,0.6342
4509,5.768,0.4236,5.675,0.5543
4510,5.896,0.4334,5.272,0.6209
4511,6.117,0.5152,5.946,0.8067
4512,6.135,0.3378,5.214,0.3759
4513,6.852,0.3885,5.285,0.54
4514,5.566,0.4632,5.466,0.5521
4515,6.491,0.2711,6.089,0.3179
4518,5.005,0.5056,5.005,0.5056
4520,6.358,0.6416,6.358,0.6416
4521,6.452,0.63,6.452,0.63
4522,6.138,0.4889,5.867,0.6695
4523,6.448,0.4179,5.97,0.4546
4525,4.429,0.5594,4.429,0.5594
