ligand_id,cnn_affinity,pose_score,CNN affinity (best pose),pose_score (best pose)
254,7.333,0.7524,7.333,0.7524
255,7.079,0.6458,7.058,0.6479
256,8.661,0.2297,8.661,0.2297
257,8.378,0.1999,7.832,0.2631
258,8.699,0.2467,8.203,0.2868
259,8.83,0.2393,8.189,0.2843
260,8.472,0.2754,8.472,0.2754
261,7.82,0.2332,7.397,0.2747
262,8.808,0.3836,8.808,0.3836
263,7.689,0.1797,7.689,0.1797
264,8.446,0.2679,8.446,0.2679
265,8.391,0.3118,8.391,0.3118
266,7.989,0.223,7.948,0.2745
267,9.255,0.1905,9.18,0.2636
268,8.667,0.2875,8.667,0.2875
269,8.203,0.2728,8.11,0.2745
270,8.001,0.2422,8.001,0.2422
271,8.718,0.2188,8.715,0.2354
272,7.398,0.3245,7.398,0.3245
273,8.557,0.136,8.557,0.136
299,,,,
