ligand_id,cnn_affinity,pose_score,CNN affinity (best pose),pose_score (best pose)
1862,7.913,0.3686,7.175,0.4626
1863,8.185,0.6076,8.185,0.6076
1864,6.467,0.5887,6.317,0.6969
1865,6.571,0.5275,6.571,0.5275
1866,6.782,0.3905,6.759,0.5383
1867,6.366,0.4417,6.053,0.4856
1868,7.761,0.5321,7.547,0.691
1869,7.261,0.3415,6.799,0.4594
1870,7.217,0.4551,6.755,0.497
1871,7.069,0.465,7.069,0.465
1872,6.867,0.3255,6.457,0.3873
1878,8.315,0.4661,8.315,0.4661
1885,6.666,0.5517,6.666,0.5517
1886,6.524,0.3631,6.52,0.411
1887,6.926,0.5276,6.926,0.5276
1888,7.662,0.5856,7.662,0.5856
1889,7.279,0.2959,7.052,0.3648
1890,6.085,0.2642,5.883,0.4293
1891,6.359,0.4301,6.227,0.525
1892,6.877,0.5646,6.585,0.6852
1899,5.766,0.6683,5.766,0.6683
1900,5.279,0.5352,5.262,0.6906
1901,5.51,0.82,5.51,0.82
1902,5.465,0.6097,5.453,0.6831
1903,5.707,0.5223,5.707,0.5223
1904,5.566,0.7244,5.551,0.762
1905,5.864,0.4691,5.816,0.5042
1906,5.255,0.4978,5.17,0.5619
1907,5.224,0.7019,5.224,0.7019
1908,5.13,0.5152,5.105,0.5691
1909,5.645,0.5811,5.597,0.6755
1910,5.676,0.4541,5.536,0.5336
1911,5.756,0.7152,5.656,0.7639
1912,5.576,0.6658,5.425,0.67
1913,4.981,0.5888,4.881,0.6434
1914,6.692,0.3373,6.692,0.3373
1915,6.533,0.5937,5.785,0.6405
1916,6.133,0.4979,5.484,0.5609
1917,8.152,0.3167,8.121,0.6738
1920,7.391,0.3751,7.279,0.4477
1921,8.211,0.6119,8.211,0.6119
1923,8.0,0.5197,8.0,0.5197
1924,6.415,0.3481,6.413,0.4735
1925,6.28,0.6569,6.106,0.7296
1926,7.096,0.4132,6.78,0.491
1927,7.189,0.3216,6.934,0.4671
1928,7.299,0.4458,6.891,0.5615
1929,7.859,0.5784,7.859,0.5784
1930,7.432,0.4102,6.804,0.4772
1931,6.864,0.496,6.85,0.5108
1932,7.19,0.6827,7.161,0.7774
1933,7.015,0.6275,6.946,0.8013
1934,7.007,0.6717,6.435,0.724
1936,7.226,0.6251,7.226,0.6251
1941,7.507,0.4744,7.313,0.7522
