ligand_id,cnn_affinity,pose_score,CNN affinity (best pose),pose_score (best pose)
211,4.618,0.4189,4.589,0.4567
212,4.456,0.4513,4.425,0.465
213,4.657,0.4439,4.607,0.4726
214,4.489,0.4593,4.436,0.4803
216,4.672,0.4723,4.627,0.4835
217,4.622,0.425,4.579,0.4455
218,4.488,0.4844,4.484,0.4875
219,4.521,0.4531,4.422,0.494
220,4.502,0.4701,4.47,0.4721
221,4.53,0.4286,4.487,0.4473
222,4.473,0.4683,4.442,0.4778
229,4.637,0.4477,4.637,0.4477
234,4.399,0.4681,4.392,0.4762
235,4.575,0.4472,4.575,0.4472
236,4.517,0.4663,4.475,0.4824
243,4.651,0.4861,4.651,0.4861
244,4.81,0.4709,4.793,0.4812
245,4.511,0.4618,4.494,0.4647
246,4.701,0.4567,4.674,0.4572
247,4.672,0.436,4.661,0.454
248,4.471,0.4654,4.399,0.482
249,4.727,0.4269,4.633,0.4354
250,4.704,0.4308,4.665,0.4464
251,4.33,0.4172,4.274,0.4323
252,4.462,0.4,4.462,0.4
253,4.236,0.4439,4.201,0.4505
254,4.312,0.3951,4.292,0.4192
255,4.463,0.4432,4.447,0.4759
256,4.596,0.416,4.509,0.4274
257,4.582,0.4167,4.565,0.4444
258,4.453,0.4233,4.37,0.4422
259,4.527,0.4634,4.513,0.4711
260,4.612,0.4255,4.477,0.4345
261,4.438,0.4291,4.394,0.4419
262,4.516,0.4436,4.493,0.4459
263,4.532,0.4402,4.532,0.4402
264,4.51,0.4673,4.51,0.4673
265,4.494,0.4032,4.417,0.4226
266,4.599,0.4714,4.599,0.4714
267,4.569,0.4385,4.566,0.4388
268,4.682,0.3877,4.608,0.4574
269,4.646,0.4614,4.646,0.4614
270,4.673,0.4627,4.673,0.4627
271,4.631,0.428,4.574,0.4594
272,4.603,0.4498,4.586,0.4774
273,4.463,0.4227,4.463,0.4227
274,4.617,0.3938,4.519,0.4231
275,4.595,0.4115,4.591,0.4284
276,4.659,0.3667,4.569,0.3841
277,4.652,0.3956,4.606,0.4025
278,4.566,0.4674,4.566,0.4674
279,4.471,0.4194,4.439,0.4376
280,4.477,0.4213,4.435,0.4258
281,4.595,0.403,4.517,0.4345
282,4.565,0.396,4.513,0.4181
283,3.709,0.7273,3.7,0.7336
284,3.949,0.6801,3.949,0.6801
285,4.108,0.6555,4.086,0.6606
286,3.756,0.6995,3.755,0.7003
287,3.906,0.679,3.906,0.679
288,3.998,0.6417,3.98,0.6452
289,4.139,0.6198,4.139,0.6198
290,4.64,0.375,4.585,0.4448
292,4.629,0.3954,4.481,0.4342
293,4.529,0.4491,4.475,0.4664
294,4.714,0.401,4.537,0.4557
296,4.476,0.414,4.401,0.4358
297,4.514,0.4731,4.514,0.4731
298,4.675,0.3949,4.578,0.458
299,4.654,0.4342,4.613,0.4582
302,4.569,0.4586,4.569,0.4586
303,4.623,0.4271,4.53,0.4605
305,4.495,0.4695,4.495,0.4695
306,4.553,0.4521,4.488,0.4673
309,4.513,0.4337,4.502,0.4504
310,4.452,0.4834,4.406,0.4944
311,4.505,0.4908,4.454,0.5033
312,4.47,0.4559,4.445,0.472
313,4.598,0.4383,4.563,0.4926
315,4.581,0.4652,4.581,0.4652
316,4.67,0.5232,4.665,0.5305
317,4.328,0.59,4.315,0.5907
318,4.67,0.5747,4.67,0.5747
319,3.96,0.6496,3.96,0.6496
320,3.762,0.6372,3.762,0.6372
321,3.928,0.672,3.921,0.6836
322,3.761,0.7049,3.746,0.7095
323,3.923,0.6938,3.916,0.6974
324,3.776,0.648,3.738,0.656
325,3.922,0.6289,3.884,0.6445
326,3.998,0.5966,3.995,0.6068
327,3.978,0.5996,3.942,0.6039
328,3.731,0.6775,3.724,0.6793
329,3.776,0.6407,3.752,0.6451
330,3.711,0.7058,3.705,0.7064
331,3.746,0.6801,3.743,0.6833
332,3.913,0.666,3.901,0.6674
333,4.039,0.6268,4.014,0.6276
334,3.795,0.6685,3.784,0.6713
335,3.8,0.6841,3.8,0.6841
336,3.775,0.6446,3.774,0.6508
337,3.845,0.6782,3.807,0.6794
338,3.946,0.6683,3.946,0.6683
