filename,affinity_qvina
ligand_1162.log,-7.4
ligand_1349.log,-8.1
ligand_1029.log,-7.6
ligand_1477.log,-7.9
ligand_1240.log,-8.2
ligand_1288.log,-8.6
ligand_1169.log,-8.5
ligand_1356.log,-8.2
ligand_1110.log,-8.9
ligand_1403.log,-10.0
ligand_1038.log,-6.3
ligand_1475.log,-8.1
ligand_1243.log,-6.1
ligand_1031.log,-8.3
ligand_1107.log,-7.9
ligand_1239.log,-7.2
ligand_1357.log,-7.2
ligand_1407.log,-10.4
ligand_128.log,-7.5
ligand_1161.log,-7.6
ligand_1474.log,-9.3
ligand_1105.log,-7.4
ligand_135.log,-7.4
ligand_1037.log,-6.7
ligand_1242.log,-7.8
ligand_1168.log,-8.3
ligand_140.log,-7.4
ligand_1036.log,-6.6
ligand_1476.log,-11.2
ligand_1101.log,-9.6
ligand_1298.log,-7.9
ligand_1039.log,-8.2
ligand_1478.log,-9.0
ligand_1170.log,-8.1
ligand_123.log,-6.2
ligand_1360.log,-9.1
ligand_102.log,-7.1
ligand_110.log,-6.0
ligand_1026.log,-7.5
ligand_1241.log,-7.1
ligand_1409.log,-8.5
ligand_1359.log,-9.5
ligand_1294.log,-9.0
ligand_1160.log,-7.4
ligand_1102.log,-9.4
ligand_1361.log,-9.2
ligand_1479.log,-9.0
ligand_124.log,-6.6
ligand_1040.log,-7.2
ligand_1296.log,-8.8
ligand_116.log,-8.1
ligand_103.log,-6.0
ligand_141.log,-8.7
ligand_1050.log,-6.9
ligand_1251.log,-8.4
ligand_1368.log,-7.6
ligand_1111.log,-9.9
ligand_1297.log,-9.7
ligand_1480.log,-9.3
ligand_1048.log,-7.0
ligand_1363.log,-7.4
ligand_1167.log,-7.4
ligand_1245.log,-7.8
ligand_1042.log,-7.0
ligand_147.log,-7.7
ligand_1109.log,-7.9
ligand_1366.log,-7.9
ligand_1253.log,-8.7
ligand_1063.log,-9.8
ligand_1428.log,-7.7
ligand_1293.log,-9.3
ligand_1358.log,-9.6
ligand_1483.log,-10.1
ligand_1163.log,-7.8
ligand_1112.log,-8.0
ligand_1244.log,-7.7
ligand_1429.log,-9.8
