filename,affinity_qvina
ligand_294.log,-10.1
ligand_33.log,-6.7
ligand_4.log,-8.6
ligand_366.log,-8.8
ligand_372.log,-8.8
ligand_385.log,-8.9
ligand_364.log,-10.1
ligand_57.log,-8.8
ligand_342.log,-8.3
ligand_379.log,-8.5
ligand_376.log,-8.6
ligand_54.log,-8.1
ligand_386.log,-8.7
ligand_344.log,-8.8
ligand_381.log,-7.7
ligand_363.log,-9.6
ligand_297.log,-8.9
ligand_367.log,-8.4
ligand_68.log,-7.8
ligand_65.log,-7.2
ligand_394.log,-7.1
ligand_76.log,-7.6
ligand_393.log,-7.8
ligand_84.log,-8.6
ligand_358.log,-10.6
ligand_70.log,-8.3
ligand_62.log,-8.9
ligand_389.log,-7.5
ligand_8.log,-8.2
ligand_47.log,-8.4
ligand_67.log,-9.1
ligand_380.log,-7.4
ligand_55.log,-6.8
ligand_73.log,-7.7
ligand_362.log,-10.6
ligand_44.log,-8.6
ligand_38.log,-7.7
ligand_75.log,-7.6
ligand_64.log,-7.6
ligand_95.log,-8.9
ligand_361.log,-9.6
ligand_43.log,-10.0
ligand_382.log,-7.8
ligand_78.log,-8.3
ligand_66.log,-8.6
ligand_53.log,-7.2
ligand_387.log,-7.7
ligand_39.log,-9.1
ligand_71.log,-7.8
ligand_94.log,-8.5
ligand_60.log,-8.4
ligand_85.log,-8.1
ligand_388.log,-7.3
ligand_59.log,-9.1
ligand_63.log,-7.9
ligand_88.log,-9.2
ligand_72.log,-8.6
ligand_58.log,-8.4
ligand_61.log,-8.6
ligand_82.log,-7.8
ligand_56.log,-7.3
ligand_80.log,-8.8
ligand_91.log,-8.3
ligand_77.log,-8.6
ligand_79.log,-8.1
ligand_92.log,-9.3
ligand_69.log,-8.7
ligand_98.log,-9.6
ligand_81.log,-8.0
ligand_74.log,-8.1
ligand_90.log,-10.3
ligand_97.log,-9.0
ligand_83.log,-8.8
