filename,affinity_qvina
ligand_1356.log,14.7
ligand_1119.log,55.4
ligand_1085.log,64.5
ligand_1337.log,38.9
ligand_1167.log,57.4
ligand_1292.log,40.8
ligand_11.log,118.1
ligand_1247.log,36.6
ligand_1361.log,15.3
ligand_110.log,83.6
ligand_1260.log,123.2
ligand_1363.log,32.9
ligand_116.log,60.4
ligand_1084.log,50.9
ligand_1336.log,35.8
ligand_1291.log,44.4
ligand_1224.log,25.0
ligand_1367.log,18.2
ligand_1175.log,5.1
ligand_1079.log,81.4
ligand_1111.log,41.7
ligand_1254.log,112.1
ligand_1225.log,18.0
ligand_1347.log,21.8
ligand_1364.log,54.9
ligand_1293.log,41.0
ligand_1174.log,7.7
ligand_1341.log,38.6
ligand_1215.log,63.5
ligand_1074.log,88.8
ligand_1178.log,25.2
ligand_1117.log,53.2
ligand_1368.log,12.2
ligand_1258.log,123.8
ligand_1302.log,31.2
ligand_1345.log,10.9
ligand_1179.log,9.0
ligand_1218.log,5.0
ligand_1365.log,24.3
ligand_1118.log,57.3
ligand_107.log,63.4
ligand_1349.log,33.8
ligand_1171.log,21.2
ligand_1296.log,23.4
ligand_1373.log,73.8
ligand_1226.log,27.1
ligand_1081.log,101.4
ligand_1249.log,109.0
ligand_1346.log,14.6
ligand_12.log,119.8
ligand_1172.log,13.4
ligand_1370.log,67.4
ligand_1122.log,51.0
ligand_1342.log,19.0
ligand_1228.log,34.2
ligand_1177.log,7.0
ligand_1366.log,19.7
ligand_1303.log,25.4
ligand_1083.log,57.8
ligand_133.log,32.2
ligand_1216.log,35.4
ligand_139.log,88.5
ligand_1248.log,53.1
ligand_1121.log,62.3
ligand_1371.log,70.1
ligand_1300.log,32.4
ligand_1343.log,25.9
ligand_1261.log,132.0
ligand_1086.log,74.4
ligand_1217.log,12.7
ligand_136.log,21.0
ligand_1338.log,41.3
ligand_1405.log,75.3
ligand_1298.log,31.9
ligand_1115.log,49.2
ligand_1375.log,37.8
ligand_1219.log,29.7
ligand_1462.log,57.8
ligand_1264.log,44.6
ligand_1372.log,20.0
ligand_1297.log,26.7
ligand_1210.log,13.8
ligand_1408.log,22.1
ligand_1340.log,31.5
ligand_1113.log,58.3
ligand_1450.log,39.0
ligand_1377.log,76.2
ligand_1223.log,39.8
ligand_1295.log,33.1
ligand_1403.log,84.6
ligand_1263.log,66.6
ligand_1459.log,51.9
ligand_1344.log,13.1
ligand_1506.log,31.6
ligand_1374.log,68.1
ligand_1339.log,34.4
ligand_1112.log,44.4
ligand_1460.log,73.5
ligand_1397.log,83.3
ligand_1304.log,43.5
ligand_1369.log,40.8
ligand_1515.log,37.4
ligand_1262.log,97.3
ligand_1348.log,38.0
ligand_1456.log,56.4
ligand_1124.log,54.3
ligand_1376.log,58.4
ligand_1400.log,88.0
ligand_129.log,39.6
ligand_1516.log,36.8
ligand_134.log,35.3
ligand_1275.log,33.0
ligand_1301.log,33.6
ligand_1378.log,69.9
ligand_1461.log,58.7
ligand_1350.log,10.9
ligand_1511.log,30.7
ligand_1123.log,48.5
ligand_1404.log,102.5
ligand_1294.log,70.7
ligand_1379.log,72.7
ligand_1457.log,48.7
ligand_1354.log,5.7
ligand_1271.log,44.1
ligand_1512.log,31.3
ligand_1135.log,45.8
ligand_1360.log,14.7
ligand_145.log,97.3
ligand_137.log,93.1
ligand_140.log,95.4
ligand_1353.log,20.8
ligand_1514.log,32.1
ligand_1269.log,63.6
ligand_1299.log,50.9
ligand_112.log,36.5
ligand_1382.log,91.2
ligand_1455.log,47.1
ligand_1409.log,35.0
ligand_1352.log,6.1
ligand_1505.log,35.1
ligand_1126.log,48.2
ligand_1458.log,51.2
ligand_1358.log,22.1
ligand_1306.log,50.5
ligand_1389.log,78.0
