LigandID,Pose,BindingEnergy,IntermolecularEnergy,InternalEnergy,TorsionalEnergy,UnboundEnergy
133,2,47.502,65.552,18.565,-18.05,18.565
134,1,-3.363,-3.953,0.952,0.59,0.952
135,1,60.84,131.975,122.908,-71.134,122.908
135,2,174.273,204.837,18.1,-30.564,18.1
136,1,5.717,16.579,618.76,-10.862,618.76
136,2,-9.405,-9.954,0.0,0.55,0.0
137,1,-10.314,-11.52,4.581,1.206,4.581
137,2,47.51,65.563,5.109,-18.053,5.109
141,1,-9.129,-10.196,0.506,1.067,0.506
142,1,-9.891,-13.36,82.299,3.469,82.299
143,1,-9.773,-10.916,0.083,1.143,0.083
147,1,39.146,56.31,31.47,-17.164,31.47
148,1,-12.915,-15.18,42.395,2.265,42.395
148,2,17.119,20.121,19.287,-3.002,19.287
148,3,39.705,55.953,5.735,-16.248,5.735
151,1,-12.126,-13.543,17.146,1.418,17.146
151,2,149.4,219.272,40.891,-69.872,40.891
154,1,-1.023,-1.502,51.318,0.479,51.318
154,2,19.77,28.438,19.544,-8.668,19.544
155,1,165.9,233.79,84.54,-67.89,84.54
157,1,55.354,78.006,12.521,-22.652,12.521
160,1,76.914,112.885,25.088,-35.971,25.088
161,1,31.016,43.708,2.664,-12.692,2.664
163,1,-8.716,-9.735,1.224,1.019,1.224
168,1,-7.788,-8.243,0.0,0.455,0.0
168,2,-3.8,-5.021,31.202,1.222,31.202
170,1,1.195,1.579,6.786,-0.384,6.786
170,2,-8.779,-10.062,0.164,1.283,0.164
171,1,49.708,68.597,24.45,-18.889,24.45
175,1,-11.946,-12.994,9.742,1.048,9.742
177,1,62.982,90.597,4.774,-27.615,4.774
177,2,-11.003,-11.968,1.951,0.965,1.951
181,1,-8.107,-9.529,4.321,1.422,4.321
181,2,211.756,329.359,276.49,-117.603,276.49
182,1,-3.924,-5.645,0.754,1.721,0.754
182,2,-12.551,-14.019,12.3,1.467,12.3
182,3,111.231,231.529,61.269,-120.298,61.269
183,1,-8.784,-9.555,0.0,0.77,0.0
184,1,-9.137,-9.671,0.0,0.534,0.0
184,2,159.677,206.351,30.303,-46.674,30.303
184,3,24.744,34.146,24.603,-9.402,24.603
185,1,44.146,69.953,121.275,-25.808,121.275
188,1,-3.886,-6.499,67.437,2.613,67.437
190,1,4.554,6.55,8.55,-1.997,8.55
191,1,-4.848,-5.698,9.165,0.85,9.165
191,2,26.05,34.426,5.953,-8.376,5.953
192,1,108.67,169.022,87.622,-60.352,87.622
192,2,32.358,45.599,5.145,-13.242,5.145
193,1,160.94,245.617,58.131,-84.677,58.131
193,2,44.014,63.312,3.619,-19.298,3.619
194,1,38.684,54.515,6.531,-15.83,6.531
