LigandID,Pose,BindingEnergy,IntermolecularEnergy,InternalEnergy,TorsionalEnergy,UnboundEnergy
115,2,-6.336,-8.373,-0.264,2.037,-0.264
115,3,36.654,59.153,-0.125,-22.499,-0.125
116,1,-6.052,-7.468,0.379,1.415,0.379
118,1,2.764,3.329,2.341,-0.566,2.341
119,1,-3.189,-5.333,-0.822,2.144,-0.822
120,1,-6.349,-9.874,-0.085,3.526,-0.085
121,1,-5.247,-6.781,-0.505,1.534,-0.505
122,1,-7.186,-8.866,0.324,1.68,0.324
122,2,-6.23,-9.325,0.06,3.096,0.06
123,1,-4.663,-7.252,-0.479,2.59,-0.479
124,1,-5.359,-7.709,-0.482,2.35,-0.482
127,1,-5.361,-8.966,-0.365,3.604,-0.365
128,1,-7.796,-9.163,-0.333,1.367,-0.333
128,2,-5.682,-7.343,0.73,1.661,0.73
128,3,-4.474,-7.22,-0.155,2.746,-0.155
132,1,-9.74,-13.156,1.403,3.416,1.403
132,2,-6.968,-10.431,-1.048,3.463,-1.048
132,3,-4.469,-7.605,-0.037,3.135,-0.037
132,4,-6.389,-9.937,-1.581,3.548,-1.581
136,1,-6.56,-8.861,-0.746,2.301,-0.746
137,1,-6.1,-7.348,-0.146,1.248,-0.146
141,1,-5.676,-7.667,0.974,1.991,0.974
141,2,27.517,37.17,-0.093,-9.652,-0.093
141,3,-6.839,-10.637,-0.851,3.798,-0.851
142,1,-6.5,-9.729,-0.651,3.23,-0.651
143,1,-4.488,-6.981,-1.764,2.493,-1.764
144,1,-5.394,-8.39,-0.902,2.996,-0.902
146,1,-4.942,-6.386,0.452,1.444,0.452
147,1,-5.842,-8.062,-0.556,2.22,-0.556
147,2,-5.691,-8.353,1.017,2.662,1.017
147,3,-5.843,-7.722,-0.884,1.879,-0.884
149,1,-5.936,-7.324,-0.764,1.388,-0.764
150,1,-4.87,-6.293,0.025,1.423,0.025
151,1,-7.795,-9.618,-0.848,1.823,-0.848
151,2,-5.876,-7.25,-0.358,1.374,-0.358
151,3,-4.572,-6.31,-0.353,1.737,-0.353
151,4,-6.998,-10.681,-0.601,3.682,-0.601
153,1,-5.272,-6.967,-0.622,1.695,-0.622
154,1,-3.069,-3.607,-0.331,0.538,-0.331
154,2,-6.047,-8.698,-0.111,2.651,-0.111
155,1,-6.986,-8.824,-0.509,1.838,-0.509
156,1,-5.834,-7.539,-0.986,1.705,-0.986
156,2,-4.358,-5.886,-0.178,1.528,-0.178
158,1,-6.421,-7.734,-0.194,1.314,-0.194
159,1,-7.513,-12.565,0.009,5.051,0.009
159,2,-6.106,-9.676,0.629,3.57,0.629
159,3,-7.384,-9.111,-0.448,1.727,-0.448
161,1,-7.636,-10.315,-0.116,2.679,-0.116
161,2,-5.051,-5.641,0.737,0.591,0.737
163,1,-7.004,-7.823,0.118,0.819,0.118
166,1,-5.802,-6.82,-0.158,1.018,-0.158
168,1,-5.167,-6.527,-0.387,1.359,-0.387
168,2,-5.411,-6.993,-0.043,1.582,-0.043
168,3,-6.974,-12.069,-0.596,5.096,-0.596
169,1,-7.536,-9.739,0.159,2.203,0.159
169,2,-4.897,-6.042,0.178,1.145,0.178
170,1,-5.405,-8.88,-0.92,3.475,-0.92
170,2,-5.152,-6.658,-0.071,1.506,-0.071
170,3,-3.972,-5.714,5.773,1.742,5.773
172,1,-4.937,-6.38,-0.388,1.443,-0.388
172,2,-7.694,-11.067,-1.412,3.373,-1.412
172,3,-5.946,-10.812,-0.473,4.866,-0.473
175,1,-6.535,-9.591,1.062,3.056,1.062
178,1,-7.166,-9.051,2.07,1.885,2.07
178,2,69.62,106.25,1.282,-36.63,1.282
180,1,-5.444,-7.035,-0.047,1.591,-0.047
180,2,-5.899,-9.347,-1.629,3.448,-1.629
183,1,12.93,18.221,1.345,-5.291,1.345
185,1,-7.072,-12.033,-0.555,4.961,-0.555
185,2,-6.823,-9.217,-0.141,2.393,-0.141
185,3,-6.016,-9.532,-0.314,3.517,-0.314
185,4,-0.104,-0.153,3.532,0.049,3.532
186,1,-9.554,-10.671,-0.649,1.117,-0.649
187,1,-6.144,-8.478,1.439,2.335,1.439
187,2,-5.874,-7.247,0.12,1.374,0.12
187,3,-8.103,-9.761,-0.634,1.658,-0.634
187,4,-7.66,-12.809,-1.181,5.15,-1.181
190,1,-1.73,-2.236,1.947,0.506,1.947
190,2,-6.091,-9.118,-0.953,3.027,-0.953
191,1,-7.418,-10.887,-1.102,3.469,-1.102
191,2,-7.447,-9.624,-1.114,2.177,-1.114
191,3,-5.534,-8.284,-1.158,2.75,-1.158
193,1,-0.487,-0.744,0.252,0.256,0.252
195,1,-6.387,-9.935,-0.184,3.547,-0.184
195,2,-5.978,-9.123,0.067,3.145,0.067
196,1,-3.013,-3.19,0.0,0.176,0.0
196,2,-5.973,-7.893,0.033,1.92,0.033
197,1,-4.888,-6.46,-0.361,1.572,-0.361
197,2,-6.495,-8.394,0.671,1.899,0.671
197,3,-7.704,-10.631,0.168,2.927,0.168
198,1,-6.591,-9.289,3.574,2.697,3.574
199,1,1.491,2.101,2.325,-0.61,2.325
202,1,-7.241,-8.934,-0.774,1.693,-0.774
204,1,-6.754,-9.715,-0.894,2.961,-0.894
213,1,-4.344,-10.694,-1.251,6.349,-1.251
213,2,-6.203,-9.649,-0.604,3.445,-0.604
215,1,-6.66,-9.19,0.259,2.531,0.259
215,2,-6.855,-9.26,0.202,2.405,0.202
217,1,-4.503,-6.741,4.429,2.238,4.429
218,1,-3.459,-4.673,-0.692,1.213,-0.692
221,1,-6.917,-10.152,-0.905,3.235,-0.905
221,2,24.742,37.036,-0.278,-12.294,-0.278
223,1,80.845,123.38,-0.818,-42.536,-0.818
225,1,-7.2,-10.357,-0.998,3.157,-0.998
226,1,40.848,90.997,3.149,-50.148,3.149
226,2,-4.331,-5.85,-0.501,1.519,-0.501
229,1,-5.233,-7.068,-0.39,1.835,-0.39
234,1,-5.081,-7.754,0.848,2.673,0.848
238,1,-3.396,-5.182,-1.04,1.787,-1.04
238,2,-5.442,-8.465,-1.38,3.023,-1.38
239,1,-5.7,-8.866,0.077,3.166,0.077
240,1,-6.218,-9.307,0.048,3.09,0.048
241,1,-8.089,-12.344,-0.693,4.256,-0.693
244,1,-5.557,-6.531,0.017,0.975,0.017
247,1,-5.264,-8.033,-0.146,2.769,-0.146
247,2,-7.513,-9.71,-0.353,2.196,-0.353
248,1,-6.978,-9.425,-0.635,2.448,-0.635
248,2,-7.206,-10.155,-0.268,2.949,-0.268
249,1,-7.1,-10.836,1.087,3.736,1.087
249,2,-5.708,-7.376,0.781,1.668,0.781
249,3,-4.343,-6.12,-1.075,1.777,-1.075
249,4,-7.078,-9.975,-0.729,2.896,-0.729
250,1,-4.038,-6.28,-0.527,2.242,-0.527
252,1,-3.4,-4.294,-1.256,0.894,-1.256
252,2,-5.118,-7.213,-0.799,2.095,-0.799
254,1,-6.054,-8.885,0.261,2.831,0.261
257,1,-7.342,-11.205,2.084,3.863,2.084
257,2,-5.875,-8.623,-0.975,2.748,-0.975
258,1,-1.873,-2.53,-1.673,0.657,-1.673
258,2,-6.301,-9.617,-1.095,3.315,-1.095
259,1,-4.604,-6.489,-0.516,1.884,-0.516
259,2,-7.347,-11.213,-0.759,3.866,-0.759
264,1,-8.433,-11.391,-0.26,2.958,-0.26
264,2,-6.504,-9.925,0.167,3.422,0.167
265,1,-5.288,-6.216,-0.287,0.927,-0.287
265,2,-5.971,-7.542,2.037,1.571,2.037
265,3,-6.396,-10.135,-0.529,3.739,-0.529
266,1,-5.544,-6.517,-0.479,0.972,-0.479
266,2,-6.621,-10.104,-0.596,3.484,-0.596
270,1,-4.044,-4.517,0.727,0.473,0.727
270,2,-7.415,-11.533,-1.532,4.118,-1.532
271,1,-5.949,-7.688,0.057,1.739,0.057
271,2,-6.846,-8.647,-0.815,1.801,-0.815
273,1,-6.558,-7.325,-0.466,0.767,-0.466
274,1,-7.767,-11.4,0.497,3.633,0.497
274,2,-5.05,-6.526,0.64,1.476,0.64
279,1,-6.339,-8.192,-0.704,1.853,-0.704
279,2,-5.22,-6.899,-0.101,1.678,-0.101
281,1,-5.915,-7.298,-0.976,1.383,-0.976
281,2,-5.859,-7.571,-0.795,1.712,-0.795
281,3,-6.99,-10.055,-0.333,3.065,-0.333
281,4,-7.531,-10.392,1.236,2.862,1.236
283,1,-5.111,-6.306,-0.264,1.195,-0.264
283,2,-6.372,-6.372,0.0,0.0,0.0
286,1,-6.259,-6.625,0.044,0.366,0.044
287,1,-8.298,-12.179,0.333,3.881,0.333
287,2,-6.374,-6.747,-0.029,0.373,-0.029
289,1,-8.055,-9.938,1.18,1.883,1.18
289,2,-6.415,-7.165,-0.238,0.75,-0.238
290,1,-5.333,-7.671,-0.648,2.338,-0.648
291,1,-7.7,-9.276,4.113,1.576,4.113
291,2,-6.737,-8.313,-0.853,1.575,-0.853
294,1,-7.589,-12.912,-1.758,5.324,-1.758
295,1,8.651,13.455,0.656,-4.804,0.656
297,1,-7.358,-12.09,-0.849,4.732,-0.849
297,2,-5.719,-8.729,-1.516,3.009,-1.516
298,1,-6.748,-11.877,0.764,5.129,0.764
304,1,-7.481,-11.417,0.196,3.936,0.196
305,1,-5.868,-8.269,-0.404,2.401,-0.404
305,2,-8.234,-12.567,1.011,4.332,1.011
307,1,-6.965,-9.815,0.837,2.85,0.837
307,2,-7.417,-11.752,0.402,4.336,0.402
308,1,-5.705,-14.043,-1.711,8.338,-1.711
309,1,16.807,19.755,0.571,-2.948,0.571
309,2,-5.7,-10.198,-1.678,4.498,-1.678
312,1,-5.93,-9.05,-0.237,3.12,-0.237
312,2,-7.923,-10.702,-0.119,2.779,-0.119
313,1,-8.093,-10.458,-0.771,2.365,-0.771
313,2,-5.062,-5.95,-0.37,0.888,-0.37
315,1,-8.215,-10.136,0.12,1.921,0.12
316,1,0.799,1.266,4.675,-0.467,4.675
316,2,19.243,24.868,1.13,-5.625,1.13
316,3,-6.873,-8.078,0.224,1.205,0.224
319,1,-6.191,-8.363,-0.388,2.172,-0.388
323,1,-6.271,-8.654,-0.781,2.383,-0.781
323,2,1.164,1.505,1.35,-0.34,1.35
324,1,-8.635,-13.431,-1.236,4.796,-1.236
324,2,-8.376,-12.293,-1.134,3.917,-1.134
324,3,-7.342,-9.918,-0.584,2.575,-0.584
324,4,-6.665,-8.613,0.532,1.948,0.532
326,1,-7.99,-9.391,-0.359,1.401,-0.359
326,2,-7.298,-9.432,-0.554,2.133,-0.554
328,1,-6.027,-6.732,-0.269,0.705,-0.269
328,2,-6.419,-8.671,-0.6,2.252,-0.6
329,1,-5.815,-8.194,0.994,2.38,0.994
329,2,-7.894,-9.279,0.197,1.384,0.197
329,3,-6.943,-9.378,-0.599,2.435,-0.599
330,1,-4.739,-6.678,0.866,1.939,0.866
330,2,-5.019,-8.247,0.697,3.228,0.697
331,1,39.337,53.135,0.448,-13.798,0.448
331,2,-8.33,-11.982,0.448,3.652,0.448
331,3,-6.423,-9.802,0.228,3.379,0.228
335,1,-5.705,-8.374,-0.044,2.668,-0.044
335,2,-7.883,-11.799,-0.815,3.917,-0.815
