LigandID,Pose,BindingEnergy,IntermolecularEnergy,InternalEnergy,TorsionalEnergy,UnboundEnergy
130,2,118.676,184.585,10.244,-65.909,10.244
130,3,7.41,11.959,4.85,-4.549,4.85
134,1,113.537,140.086,2.989,-26.549,2.989
134,2,179.3,231.71,0.863,-52.409,0.863
136,1,-4.466,-4.597,0.0,0.131,0.0
137,1,199.608,269.623,-1.184,-70.015,-1.184
138,1,159.262,326.851,-1.001,-167.589,-1.001
138,2,-3.374,-5.149,0.35,1.775,0.35
139,1,40.454,61.738,10.418,-21.284,10.418
140,1,86.218,131.581,-0.983,-45.363,-0.983
143,1,4.452,7.445,-0.053,-2.993,-0.053
145,1,90.971,128.199,-0.727,-37.227,-0.727
145,2,-3.121,-4.489,6.351,1.368,6.351
145,3,263.333,409.58,3.965,-146.247,3.965
146,1,95.322,142.688,5.118,-47.366,5.118
147,1,24.929,47.518,10.984,-22.589,10.984
149,1,93.764,132.134,0.55,-38.37,0.55
151,1,2.853,4.02,4.459,-1.168,4.459
152,1,83.32,107.674,-0.114,-24.354,-0.114
155,1,77.113,101.908,0.271,-24.794,0.271
155,2,248.084,342.354,2.427,-94.269,2.427
156,1,-2.748,-3.953,0.585,1.205,0.585
156,2,-7.984,-9.851,-0.688,1.867,-0.688
158,1,-5.126,-6.474,-0.32,1.348,-0.32
161,1,4.48,5.79,0.196,-1.31,0.196
161,2,26.341,30.191,-0.351,-3.85,-0.351
161,3,196.656,231.145,-0.553,-34.489,-0.553
162,1,110.532,155.764,1.492,-45.232,1.492
162,2,91.361,112.725,-0.367,-21.364,-0.367
163,1,139.359,188.24,3.468,-48.881,3.468
164,1,-2.014,-2.779,-0.613,0.765,-0.613
167,1,-1.535,-1.804,1.281,0.269,1.281
167,2,-1.261,-1.556,-0.336,0.295,-0.336
170,1,-4.73,-5.56,0.123,0.83,0.123
171,1,-5.341,-6.278,1.248,0.937,1.248
172,1,1.367,2.046,2.064,-0.679,2.064
172,2,-7.016,-8.246,1.127,1.23,1.127
174,1,86.272,126.62,1.623,-40.348,1.623
175,1,-5.848,-7.557,0.789,1.709,0.789
177,1,117.338,165.355,5.837,-48.017,5.837
177,2,90.43,164.441,2.012,-74.011,2.012
178,1,0.0,0.0,-3.394,0.0,-3.394
178,2,37.145,50.174,4.064,-13.029,4.064
178,3,96.888,147.865,2.512,-50.977,2.512
178,4,368.629,659.555,19.024,-290.926,19.024
180,1,2.167,3.054,2.855,-0.887,2.855
181,1,106.056,106.056,35.53,0.0,35.53
181,2,-2.949,-4.674,1.868,1.724,1.868
181,3,66.42,89.717,6.3,-23.297,6.3
181,4,3.278,6.727,-0.807,-3.449,-0.807
182,1,41.407,51.09,-0.366,-9.683,-0.366
183,1,-3.634,-5.122,-1.272,1.487,-1.272
183,2,1.615,3.221,1.814,-1.605,1.814
184,1,32.271,38.874,0.107,-6.603,0.107
185,1,61.974,76.466,-0.612,-14.492,-0.612
185,2,26.42,29.509,0.53,-3.089,0.53
185,3,2.86,5.869,5.332,-3.009,5.332
189,1,46.82,102.93,17.733,-56.11,17.733
189,2,6.466,11.568,5.963,-5.103,5.963
190,1,99.836,213.647,0.821,-113.811,0.821
197,1,0.0,0.0,-0.895,0.0,-0.895
197,2,-7.441,-10.703,2.404,3.262,2.404
198,1,133.359,172.34,0.149,-38.981,0.149
200,1,2.701,4.123,6.798,-1.421,6.798
200,2,19.934,26.926,-0.438,-6.992,-0.438
201,1,-4.469,-5.514,0.506,1.045,0.506
203,1,73.568,129.478,0.354,-55.91,0.354
205,1,0.0,0.0,87.395,0.0,87.395
208,1,-3.711,-4.904,-0.524,1.193,-0.524
208,2,212.927,424.538,-0.748,-211.611,-0.748
209,1,31.683,63.17,15.339,-31.487,15.339
210,1,-7.648,-10.778,0.598,3.13,0.598
210,2,53.385,72.111,6.654,-18.725,6.654
211,1,67.166,86.799,7.62,-19.633,7.62
211,2,46.176,70.471,0.008,-24.295,0.008
212,1,69.921,94.446,-0.676,-24.525,-0.676
214,1,6.532,11.878,1.252,-5.346,1.252
215,1,13.788,18.221,3.46,-4.433,3.46
215,2,82.825,140.928,8.318,-58.103,8.318
216,1,20.426,26.397,5.78,-5.971,5.78
216,2,20.366,28.7,2.404,-8.334,2.404
217,1,46.463,60.045,0.858,-13.581,0.858
217,2,63.97,90.148,0.443,-26.178,0.443
219,1,-4.196,-5.422,-0.172,1.226,-0.172
219,2,72.5,80.976,1.161,-8.477,1.161
220,1,52.76,92.857,18.556,-40.097,18.556
220,2,17.499,20.057,2.162,-2.558,2.162
223,1,15.567,21.027,6.54,-5.46,6.54
224,1,279.581,483.884,1.408,-204.303,1.408
224,2,6.315,9.269,0.682,-2.953,0.682
226,1,-2.925,-3.951,4.791,1.026,4.791
226,2,53.57,69.228,-0.921,-15.658,-0.921
227,1,44.889,60.634,2.954,-15.745,2.954
227,2,14.813,26.936,1.65,-12.123,1.65
227,3,175.601,216.663,2.029,-41.062,2.029
229,1,110.258,155.378,9.52,-45.12,9.52
229,2,125.275,154.57,4.873,-29.294,4.873
229,3,133.545,164.773,3.464,-31.228,3.464
230,1,-8.641,-13.692,0.414,5.051,0.414
230,2,-3.098,-4.184,-0.345,1.087,-0.345
230,3,-2.116,-2.61,1.181,0.495,1.181
232,1,0.258,0.394,1.612,-0.136,1.612
232,2,44.126,68.633,-1.238,-24.506,-1.238
232,3,128.993,166.697,3.182,-37.705,3.182
234,1,46.195,62.398,-0.335,-16.203,-0.335
235,1,-6.036,-7.447,0.929,1.411,0.929
235,2,89.153,130.848,10.322,-41.695,10.322
237,1,5.349,6.6,-0.156,-1.251,-0.156
238,1,-2.389,-2.947,-0.138,0.559,-0.138
239,1,-7.747,-10.012,0.67,2.265,0.67
243,1,-7.004,-9.051,8.013,2.047,8.013
243,2,4.124,5.932,3.947,-1.808,3.947
247,1,-5.724,-7.732,-1.678,2.008,-1.678
248,1,2.511,3.244,0.052,-0.734,0.052
248,2,108.321,152.648,-0.474,-44.327,-0.474
248,3,67.833,101.539,1.909,-33.707,1.909
249,1,6.507,8.979,2.526,-2.472,2.526
249,2,407.316,621.622,114.507,-214.305,114.507
249,3,111.295,150.333,1.187,-39.038,1.187
249,4,80.873,116.332,0.801,-35.459,0.801
254,1,40.667,48.987,0.905,-8.321,0.905
256,1,2.331,2.739,-0.084,-0.409,-0.084
256,2,-0.779,-1.189,-0.011,0.41,-0.011
256,3,230.563,372.09,3.987,-141.527,3.987
256,4,70.567,99.445,0.614,-28.877,0.614
258,1,-5.52,-7.617,8.651,2.097,8.651
266,1,263.875,341.006,1.298,-77.131,1.298
269,1,-5.75,-7.767,1.956,2.017,1.956
275,1,-4.803,-6.207,0.768,1.404,0.768
275,2,28.947,45.869,-1.119,-16.922,-1.119
276,1,-6.051,-9.411,2.139,3.36,2.139
277,1,0.675,0.872,1.102,-0.197,1.102
278,1,1.2,1.69,-0.178,-0.491,-0.178
279,1,-8.619,-11.138,2.114,2.519,2.114
279,2,54.05,63.53,0.195,-9.479,0.195
280,1,-1.526,-1.794,1.166,0.268,1.166
281,1,-5.721,-6.892,0.286,1.171,0.286
283,1,61.08,73.578,-0.266,-12.498,-0.266
283,2,11.941,14.384,0.496,-2.443,0.496
284,1,-2.177,-3.068,0.221,0.891,0.221
284,2,38.737,46.663,1.101,-7.926,1.101
285,1,-6.058,-7.474,0.319,1.417,0.319
286,1,0.0,0.0,-0.696,0.0,-0.696
287,1,-6.742,-8.122,-0.42,1.38,-0.42
288,1,2.461,2.965,-0.751,-0.504,-0.751
293,1,52.688,88.11,1.372,-35.422,1.372
294,1,60.467,83.444,0.047,-22.977,0.047
295,1,33.702,58.329,-1.047,-24.627,-1.047
295,2,81.302,116.949,-0.575,-35.647,-0.575
297,1,1.181,1.595,-1.372,-0.414,-1.372
297,2,120.711,198.335,-0.046,-77.624,-0.046
297,3,263.599,433.11,2.057,-169.51,2.057
298,1,1.43,1.931,7.541,-0.502,7.541
298,2,25.782,43.114,9.915,-17.333,9.915
298,3,3.284,4.82,0.847,-1.536,0.847
301,1,186.662,252.135,6.33,-65.473,6.33
301,2,25.15,33.972,1.596,-8.822,1.596
301,3,24.96,44.658,0.697,-19.698,0.697
301,4,120.862,177.387,0.065,-56.525,0.065
303,1,-3.432,-4.635,-1.171,1.204,-1.171
304,1,137.178,185.294,0.509,-48.116,0.509
304,2,-3.529,-5.798,2.1,2.269,2.1
305,1,267.547,314.47,7.514,-46.922,7.514
305,2,57.296,109.213,6.123,-51.917,6.123
306,1,-5.683,-7.843,5.774,2.16,5.774
306,2,47.549,69.787,0.758,-22.238,0.758
312,1,109.318,131.685,4.183,-22.367,4.183
313,1,-6.842,-8.242,-0.834,1.4,-0.834
313,2,23.034,31.787,3.554,-8.753,3.554
315,1,44.299,71.49,2.346,-27.192,2.346
315,2,-4.782,-5.901,3.993,1.118,3.993
315,3,75.022,90.372,-0.543,-15.35,-0.543
316,1,5.343,7.53,1.096,-2.187,1.096
319,1,-5.112,-6.307,0.599,1.195,0.599
326,1,8.997,16.887,5.233,-7.89,5.233
326,2,-5.334,-7.205,-0.347,1.871,-0.347
329,1,94.992,122.758,0.233,-27.766,0.233
329,2,96.489,130.333,4.887,-33.844,4.887
331,1,-3.564,-4.814,-0.671,1.25,-0.671
333,1,98.432,132.958,-0.513,-34.526,-0.513
334,1,351.434,649.334,0.43,-297.9,0.43
336,1,29.938,36.063,0.414,-6.126,0.414
336,2,8.488,15.434,-0.969,-6.947,-0.969
338,1,7.453,9.196,0.139,-1.743,0.139
338,2,-8.966,-10.801,0.045,1.835,0.045
339,1,48.017,67.667,-0.11,-19.65,-0.11
339,2,195.563,218.428,0.631,-22.865,0.631
339,3,98.571,138.908,5.845,-40.337,5.845
341,1,62.452,84.358,3.031,-21.906,3.031
342,1,-5.285,-7.139,2.312,1.854,2.312
343,1,253.091,364.059,1.215,-110.968,1.215
344,1,0.272,0.367,3.203,-0.095,3.203
348,1,38.067,61.434,5.92,-23.367,5.92
348,2,198.689,303.227,2.926,-104.538,2.926
354,1,6.81,8.403,2.235,-1.592,2.235
357,1,272.155,351.705,1.369,-79.551,1.369
357,2,52.352,76.836,0.624,-24.484,0.624
357,3,38.182,66.084,-0.333,-27.902,-0.333
359,1,81.213,109.7,26.761,-28.486,26.761
359,2,159.753,281.162,4.032,-121.409,4.032
361,1,-4.128,-7.025,2.351,2.896,2.351
364,1,14.501,17.892,-0.325,-3.391,-0.325
365,1,127.454,172.159,-0.061,-44.706,-0.061
369,1,137.904,186.275,0.941,-48.371,0.941
370,1,50.456,68.154,0.357,-17.698,0.357
371,1,7.562,11.098,5.777,-3.536,5.777
372,1,44.016,60.741,1.228,-16.726,1.228
376,1,-9.355,-12.09,-0.752,2.734,-0.752
376,2,-7.216,-11.646,3.171,4.43,3.171
377,1,11.272,18.192,-0.879,-6.919,-0.879
378,1,73.916,114.966,4.387,-41.051,4.387
379,1,285.946,561.767,2.876,-275.821,2.876
379,2,-2.156,-3.542,2.376,1.386,2.376
379,3,-3.344,-4.712,-0.846,1.368,-0.846
380,1,282.874,514.39,4.881,-231.516,4.881
384,1,-4.369,-6.157,1.32,1.788,1.32
384,2,-4.797,-5.778,-0.257,0.982,-0.257
384,3,-8.173,-10.562,-0.888,2.389,-0.888
384,4,-7.606,-13.83,1.038,6.225,1.038
386,1,7.889,10.657,-0.62,-2.767,-0.62
388,1,-2.922,-3.264,0.684,0.342,0.684
390,1,112.56,125.721,1.866,-13.161,1.866
390,2,91.932,145.676,6.992,-53.743,6.992
392,1,114.551,161.428,3.886,-46.877,3.886
392,2,131.793,185.725,4.82,-53.932,4.82
397,1,9.871,12.468,1.466,-2.597,1.466
399,1,82.414,116.14,2.263,-33.726,2.263
404,1,55.225,71.367,-0.636,-16.142,-0.636
404,2,59.505,89.073,2.525,-29.569,2.525
405,1,44.999,58.153,-0.538,-13.153,-0.538
405,2,3.809,5.367,3.349,-1.559,3.349
406,1,-5.785,-9.505,-0.958,3.72,-0.958
408,1,144.45,220.451,22.586,-76.001,22.586
410,1,14.07,23.528,3.816,-9.459,3.816
410,2,117.156,144.552,-0.008,-27.396,-0.008
411,1,171.014,245.994,0.734,-74.981,0.734
411,2,73.776,125.532,18.41,-51.755,18.41
411,3,74.22,78.559,-0.167,-4.339,-0.167
412,1,-8.562,-12.316,-0.357,3.754,-0.357
412,2,-0.567,-0.765,6.786,0.199,6.786
415,1,127.889,169.009,1.062,-41.12,1.062
415,2,66.003,85.296,0.933,-19.293,0.933
415,3,109.43,157.41,5.803,-47.98,5.803
417,1,216.269,361.664,-0.653,-145.395,-0.653
417,2,124.822,186.847,15.891,-62.025,15.891
419,1,-6.81,-10.99,5.986,4.18,5.986
419,2,33.866,56.634,6.246,-22.768,6.246
420,1,-7.63,-9.191,1.209,1.561,1.209
420,2,48.941,57.524,-0.476,-8.583,-0.476
421,1,227.67,360.765,4.015,-133.096,4.015
421,2,272.966,480.414,14.31,-207.448,14.31
421,3,170.964,245.923,5.785,-74.959,5.785
421,4,128.021,199.119,6.648,-71.099,6.648
422,1,214.18,226.701,-0.098,-12.521,-0.098
429,1,-7.896,-10.204,-0.663,2.308,-0.663
429,2,18.512,33.122,0.409,-14.61,0.409
430,1,-2.798,-4.107,0.803,1.309,0.803
