Molecule ID,pred_pIC50,pred_pose,pred_pIC50_var,pred_pIC50_p,pred_pose_p,pred_pIC50_var_p
ligand_source_row_746,5.748047,0.7807465,0.117396034,4.923828,0.89244694,0.11053976
ligand_source_row_747,4.9003906,0.5240488,0.20111592,4.536133,0.75893265,0.078901924
ligand_source_row_748,5.5615234,0.6685065,0.63757706,5.5615234,0.6685065,0.63757706
ligand_source_row_749,4.946289,0.58633304,0.18805313,4.830078,0.6489396,0.1720225
ligand_source_row_75,5.3291016,0.74378884,0.413517,5.3291016,0.74378884,0.413517
ligand_source_row_750,5.4658203,0.7392186,0.04681778,5.4658203,0.7392186,0.04681778
ligand_source_row_751,5.9941406,0.7078918,0.10296122,5.9941406,0.7078918,0.10296122
ligand_source_row_752,6.598633,0.9325192,0.10077286,6.598633,0.9325192,0.10077286
ligand_source_row_753,5.5078125,0.58449227,0.22944133,5.2822266,0.7454762,0.31737646
ligand_source_row_754,5.756836,0.68267304,0.2532692,4.8740234,0.846845,0.08703995
ligand_source_row_755,4.3789062,0.3760147,0.06346639,3.8164062,0.5584923,0.060640972
ligand_source_row_756,4.588867,0.6564406,0.05793635,4.588867,0.6564406,0.05793635
ligand_source_row_757,5.2666016,0.52231574,0.27936172,5.2666016,0.52231574,0.27936172
ligand_source_row_758,6.1308594,0.32269302,1.4136301,6.1308594,0.32269302,1.4136301
ligand_source_row_759,5.263672,0.22920367,0.2312978,5.263672,0.22920367,0.2312978
ligand_source_row_76,5.1621094,0.61679536,0.40146384,5.1621094,0.61679536,0.40146384
ligand_source_row_760,5.1445312,0.039563216,0.1958313,4.9902344,0.06454276,0.6954193
ligand_source_row_761,5.3564453,0.44603613,0.25759253,5.3564453,0.44603613,0.25759253
ligand_source_row_762,6.131836,0.11220948,0.50961685,4.7177734,0.1955743,0.2128741
ligand_source_row_763,5.2089844,0.14395171,0.25472513,5.2089844,0.14395171,0.25472513
ligand_source_row_764,6.1220703,0.2176604,0.14999771,6.1220703,0.2176604,0.14999771
ligand_source_row_765,5.2617188,0.04556953,0.052581787,5.260742,0.101256154,0.39935684
ligand_source_row_766,5.4765625,0.3142617,0.3775126,5.095703,0.57155883,0.11464945
ligand_source_row_767,5.776367,0.35724798,0.7456398,5.776367,0.35724798,0.7456398
ligand_source_row_768,5.017578,0.06822144,0.9090729,4.701172,0.20189667,0.24358623
ligand_source_row_769,6.676758,0.46933696,0.3318011,6.676758,0.46933696,0.3318011
ligand_source_row_77,5.176758,0.2310122,0.65538913,4.288086,0.59784967,0.17499161
ligand_source_row_770,6.857422,0.49184185,0.18552144,6.857422,0.49184185,0.18552144
ligand_source_row_771,6.546875,0.65373474,0.27713013,6.546875,0.65373474,0.27713013
ligand_source_row_772,5.163086,0.15155725,0.3121376,4.841797,0.22914211,0.6270091
ligand_source_row_773,5.1757812,0.17868602,0.02041626,4.9658203,0.53258663,0.372125
ligand_source_row_774,5.078125,0.5855204,0.10962931,5.078125,0.5855204,0.10962931
ligand_source_row_776,6.504883,0.5638766,0.06862768,6.504883,0.5638766,0.06862768
ligand_source_row_777,6.225586,0.49445853,0.06493505,5.998047,0.6755739,0.48794046
ligand_source_row_778,6.2177734,0.5796884,0.24599583,5.1376953,0.5864362,0.99550754
ligand_source_row_779,6.564453,0.7119422,0.0287323,6.053711,0.8140152,0.3628273
ligand_source_row_78,4.7998047,0.32789433,0.32536188,4.7998047,0.32789433,0.32536188
ligand_source_row_780,5.9541016,0.4862952,0.8224729,5.9541016,0.4862952,0.8224729
ligand_source_row_781,5.3125,0.5578456,0.2106425,4.8168945,0.62368524,0.50397843
ligand_source_row_782,4.3618164,0.40323517,0.38958073,4.2773438,0.50331676,0.058949787
ligand_source_row_783,5.7441406,0.118937746,0.05229187,5.2265625,0.48504776,0.14315796
ligand_source_row_784,5.8847656,0.25593594,0.15902202,5.5566406,0.5301093,0.15542094
ligand_source_row_785,5.3808594,0.42906743,0.26172385,4.9228516,0.491814,0.29817072
ligand_source_row_786,5.350586,0.17744735,0.040917713,5.0595703,0.6904954,0.10518774
ligand_source_row_787,6.2441406,0.5835442,0.0005137126,4.3876953,0.5868765,0.047957104
ligand_source_row_788,6.254883,0.6740057,0.2370135,6.254883,0.6740057,0.2370135
ligand_source_row_789,5.3378906,0.2658885,0.32188416,5.004883,0.7558684,0.166996
ligand_source_row_79,4.898926,0.17286275,0.6953287,4.2592773,0.4045385,0.36712995
ligand_source_row_790,5.760742,0.58683115,0.19100316,5.760742,0.58683115,0.19100316
ligand_source_row_791,5.7822266,0.24049288,0.25098038,5.3652344,0.38156733,0.115626015
ligand_source_row_792,5.3808594,0.28614855,0.2539927,4.2597656,0.4589904,0.12603252
ligand_source_row_793,5.678711,0.2787316,0.2953733,5.629883,0.67035484,0.6437518
ligand_source_row_794,6.010742,0.55311817,0.23519261,6.010742,0.55311817,0.23519261
ligand_source_row_795,6.0527344,0.47549593,0.3410492,5.3027344,0.4996066,0.04419454
ligand_source_row_796,6.2216797,0.61178553,0.13538997,5.807617,0.6576572,0.12327448
ligand_source_row_797,5.428711,0.5639125,0.030694326,5.428711,0.5639125,0.030694326
ligand_source_row_798,5.4746094,0.15942721,0.11682638,4.350586,0.43558443,0.032830555
ligand_source_row_799,6.6601562,0.7788478,0.04381307,5.5751953,0.85526425,0.14443333
ligand_source_row_80,4.6015625,0.4033023,0.12455241,4.6015625,0.4033023,0.12455241
ligand_source_row_800,5.8964844,0.3891056,0.049209595,5.84375,0.72823876,0.14718628
ligand_source_row_801,6.0097656,0.238915,0.11858622,5.3203125,0.86541605,0.023264566
ligand_source_row_802,5.9453125,0.41620803,0.21822102,4.946289,0.725749,0.45686212
ligand_source_row_803,6.0195312,0.356061,0.310496,5.5507812,0.54883397,0.3692932
ligand_source_row_804,6.135742,0.23036098,0.34030533,5.256836,0.48713663,0.39143243
ligand_source_row_805,6.725586,0.553589,0.0107968645,6.4804688,0.7183792,0.028452555
ligand_source_row_806,5.361328,0.24873757,0.08028666,5.361328,0.24873757,0.08028666
