Molecule ID,pred_pIC50,pred_pose,pred_pIC50_var,pred_pIC50_p,pred_pose_p,pred_pIC50_var_p
ligand_source_row_793,7.1152344,0.94059646,0.056706745,7.1152344,0.94059646,0.056706745
ligand_source_row_794,5.803711,0.692475,0.23966853,5.803711,0.692475,0.23966853
ligand_source_row_795,7.2382812,0.9061717,0.23910522,7.2382812,0.9061717,0.23910522
ligand_source_row_796,6.7871094,0.78229266,0.04782613,6.7871094,0.78229266,0.04782613
ligand_source_row_797,6.584961,0.8432708,0.012068431,6.584961,0.8432708,0.012068431
ligand_source_row_798,7.198242,0.89906967,0.23957698,7.198242,0.89906967,0.23957698
ligand_source_row_799,6.9072266,0.92617273,0.049381256,6.9072266,0.92617273,0.049381256
ligand_source_row_8,6.866211,0.8064468,0.006514231,6.866211,0.8064468,0.006514231
ligand_source_row_80,8.113281,0.60405123,0.121276855,8.113281,0.60405123,0.121276855
ligand_source_row_800,6.274414,0.8850776,0.050266266,6.274414,0.8850776,0.050266266
ligand_source_row_801,7.2773438,0.89241123,0.26893106,7.2773438,0.89241123,0.26893106
ligand_source_row_802,7.194336,0.8372253,0.13857396,7.194336,0.8372253,0.13857396
ligand_source_row_803,7.3339844,0.7615844,0.31217957,7.3339844,0.7615844,0.31217957
ligand_source_row_804,6.743164,0.80643404,0.06103897,6.743164,0.80643404,0.06103897
ligand_source_row_805,6.7021484,0.3772835,0.5402362,6.7021484,0.3772835,0.5402362
ligand_source_row_806,5.8808594,0.75405276,0.01685079,5.8808594,0.75405276,0.01685079
ligand_source_row_807,6.9472656,0.92255294,0.13315327,6.9472656,0.92255294,0.13315327
ligand_source_row_808,7.0839844,0.7761029,0.11947123,7.0839844,0.7761029,0.11947123
ligand_source_row_809,5.6191406,0.012803502,0.38578796,5.6191406,0.012803502,0.38578796
ligand_source_row_81,7.463867,0.57896596,0.3415464,7.463867,0.57896596,0.3415464
ligand_source_row_810,6.7373047,0.09579189,0.3196958,6.7373047,0.09579189,0.3196958
ligand_source_row_811,6.319336,0.027985223,0.136041,6.319336,0.027985223,0.136041
ligand_source_row_812,6.373047,0.042271815,0.29671732,6.373047,0.042271815,0.29671732
ligand_source_row_813,6.145508,0.04791025,0.49906793,6.145508,0.04791025,0.49906793
ligand_source_row_814,7.553711,0.5072336,0.18708675,7.553711,0.5072336,0.18708675
ligand_source_row_815,7.3154297,0.34263092,0.62610245,7.3154297,0.34263092,0.62610245
ligand_source_row_816,7.694336,0.9215816,0.02623876,7.694336,0.9215816,0.02623876
ligand_source_row_817,7.392578,0.73117983,0.10475159,7.392578,0.73117983,0.10475159
ligand_source_row_818,7.692383,0.69306636,0.07508723,7.692383,0.69306636,0.07508723
ligand_source_row_819,7.524414,0.42959505,0.19303767,7.524414,0.42959505,0.19303767
ligand_source_row_82,7.7822266,0.57473993,0.07565689,7.7822266,0.57473993,0.07565689
ligand_source_row_821,6.397461,0.10828914,0.46909967,6.397461,0.10828914,0.46909967
ligand_source_row_822,4.892578,0.009640254,1.0516001,4.892578,0.009640254,1.0516001
ligand_source_row_823,6.426758,0.12120637,0.1977679,6.426758,0.12120637,0.1977679
ligand_source_row_825,7.3398438,0.48877895,0.180247,7.3398438,0.48877895,0.180247
ligand_source_row_826,7.4345703,0.3387998,0.39509454,7.4345703,0.3387998,0.39509454
ligand_source_row_827,7.5146484,0.61986303,0.9050433,7.5146484,0.61986303,0.9050433
ligand_source_row_828,7.8222656,0.87017965,0.63216656,7.8222656,0.87017965,0.63216656
ligand_source_row_829,6.6552734,0.19271334,0.40542984,6.6552734,0.19271334,0.40542984
ligand_source_row_83,7.654297,0.42740417,0.095687866,7.654297,0.42740417,0.095687866
ligand_source_row_830,7.1689453,0.45652592,0.09571711,7.1689453,0.45652592,0.09571711
ligand_source_row_831,7.8779297,0.71170896,0.20885594,7.8779297,0.71170896,0.20885594
ligand_source_row_832,6.7089844,0.16455671,0.5575612,6.7089844,0.16455671,0.5575612
ligand_source_row_833,7.21875,0.20798764,0.4752299,7.21875,0.20798764,0.4752299
ligand_source_row_834,7.428711,0.3419553,0.36997858,7.428711,0.3419553,0.36997858
ligand_source_row_835,6.2929688,0.11112739,0.11884562,6.2929688,0.11112739,0.11884562
ligand_source_row_836,6.810547,0.11873493,0.8814443,6.810547,0.11873493,0.8814443
ligand_source_row_837,6.5908203,0.101143464,0.50976944,6.5908203,0.101143464,0.50976944
ligand_source_row_838,7.34375,0.25149897,0.519928,7.34375,0.25149897,0.519928
ligand_source_row_839,7.341797,0.3475148,0.1203359,7.341797,0.3475148,0.1203359
ligand_source_row_84,7.836914,0.5740887,0.16829808,7.836914,0.5740887,0.16829808
ligand_source_row_840,6.7802734,0.08423204,0.14408748,6.7802734,0.08423204,0.14408748
ligand_source_row_841,7.8779297,0.66443104,0.22340266,7.8779297,0.66443104,0.22340266
ligand_source_row_842,7.258789,0.30497485,0.3025042,7.258789,0.30497485,0.3025042
ligand_source_row_843,7.2304688,0.26363397,0.7949931,7.2304688,0.26363397,0.7949931
ligand_source_row_844,7.2890625,0.11924743,0.78653973,7.2890625,0.11924743,0.78653973
ligand_source_row_845,7.3720703,0.37702334,0.8362872,7.3720703,0.37702334,0.8362872
ligand_source_row_846,7.2597656,0.24134813,0.23549907,7.2597656,0.24134813,0.23549907
ligand_source_row_847,7.4716797,0.41326123,0.68492,7.4716797,0.41326123,0.68492
ligand_source_row_848,6.9160156,0.11226405,0.16839091,6.9160156,0.11226405,0.16839091
ligand_source_row_849,7.2558594,0.19811636,0.8598073,7.2558594,0.19811636,0.8598073
ligand_source_row_85,6.397461,0.32392123,0.40172705,6.397461,0.32392123,0.40172705
ligand_source_row_850,7.654297,0.58987164,0.6580556,7.654297,0.58987164,0.6580556
ligand_source_row_851,6.8183594,0.07885434,0.9764252,6.8183594,0.07885434,0.9764252
ligand_source_row_852,7.256836,0.43692294,0.261336,7.256836,0.43692294,0.261336
ligand_source_row_853,7.7714844,0.8512151,0.10368347,7.7714844,0.8512151,0.10368347
ligand_source_row_854,6.861328,0.27761203,0.8223521,6.861328,0.27761203,0.8223521
ligand_source_row_855,5.9023438,0.02688525,0.6109721,5.9023438,0.02688525,0.6109721
ligand_source_row_856,5.209961,0.00613113,0.009260814,5.209961,0.00613113,0.009260814
ligand_source_row_857,5.3320312,0.017869623,1.1797892,5.3320312,0.017869623,1.1797892
ligand_source_row_858,5.732422,0.009426858,0.16457622,5.732422,0.009426858,0.16457622
ligand_source_row_859,4.995117,0.005033444,0.4405861,4.995117,0.005033444,0.4405861
ligand_source_row_86,7.03125,0.43290493,0.09729004,7.03125,0.43290493,0.09729004
ligand_source_row_861,6.9277344,0.90467805,0.037653606,6.9277344,0.90467805,0.037653606
ligand_source_row_862,6.6552734,0.82888454,0.1857338,6.6552734,0.82888454,0.1857338
ligand_source_row_863,6.859375,0.89724565,0.06137085,6.859375,0.89724565,0.06137085
ligand_source_row_864,6.6279297,0.8150996,0.21568172,6.6279297,0.8150996,0.21568172
ligand_source_row_865,7.334961,0.88763237,0.058363598,7.334961,0.88763237,0.058363598
ligand_source_row_866,6.930664,0.8264164,0.26539484,6.930664,0.8264164,0.26539484
ligand_source_row_867,6.819336,0.9342761,0.2592303,6.819336,0.9342761,0.2592303
ligand_source_row_868,7.354492,0.63670814,0.4808998,7.354492,0.63670814,0.4808998
ligand_source_row_869,6.959961,0.83792895,0.20908992,6.959961,0.83792895,0.20908992
ligand_source_row_87,6.294922,0.18204403,0.9533946,6.294922,0.18204403,0.9533946
ligand_source_row_870,7.022461,0.8023243,0.16415787,7.022461,0.8023243,0.16415787
ligand_source_row_871,6.883789,0.7900668,0.25599542,6.883789,0.7900668,0.25599542
ligand_source_row_872,7.138672,0.73121655,0.6104787,7.138672,0.73121655,0.6104787
ligand_source_row_873,6.1660156,0.8470991,0.18447368,6.1660156,0.8470991,0.18447368
ligand_source_row_874,6.7460938,0.7381949,0.13448079,6.7460938,0.7381949,0.13448079
ligand_source_row_875,6.9716797,0.71739787,0.11793391,6.9716797,0.71739787,0.11793391
ligand_source_row_876,7.173828,0.9410536,0.09414164,7.173828,0.9410536,0.09414164
ligand_source_row_877,6.5273438,0.4880785,0.06821696,6.5273438,0.4880785,0.06821696
ligand_source_row_878,7.3066406,0.93273515,0.35354105,7.3066406,0.93273515,0.35354105
ligand_source_row_879,6.620117,0.54641855,0.06312434,6.620117,0.54641855,0.06312434
ligand_source_row_88,6.7285156,0.31625,0.13015239,6.7285156,0.31625,0.13015239
ligand_source_row_880,7.0078125,0.72970504,0.14053345,7.0078125,0.72970504,0.14053345
ligand_source_row_881,6.426758,0.4881561,0.10165787,6.426758,0.4881561,0.10165787
ligand_source_row_882,6.743164,0.84040046,0.6339658,6.743164,0.84040046,0.6339658
ligand_source_row_883,6.564453,0.92761135,0.07983907,6.564453,0.92761135,0.07983907
ligand_source_row_884,6.6621094,0.9166123,0.19598897,6.6621094,0.9166123,0.19598897
ligand_source_row_885,6.7333984,0.9029055,0.46222305,6.7333984,0.9029055,0.46222305
ligand_source_row_886,6.2666016,0.7062866,0.06645075,6.2666016,0.7062866,0.06645075
ligand_source_row_887,6.314453,0.94088864,0.050064087,6.314453,0.94088864,0.050064087
ligand_source_row_888,6.7382812,0.6483637,0.15824382,6.7382812,0.6483637,0.15824382
ligand_source_row_889,6.2470703,0.32105225,0.33727393,6.2470703,0.32105225,0.33727393
ligand_source_row_89,6.7021484,0.4147166,0.20754369,6.7021484,0.4147166,0.20754369
ligand_source_row_890,5.9716797,0.7381737,0.1298968,5.9716797,0.7381737,0.1298968
ligand_source_row_891,6.334961,0.93213516,0.2549375,6.334961,0.93213516,0.2549375
ligand_source_row_892,6.0039062,0.943033,0.24624634,6.0039062,0.943033,0.24624634
ligand_source_row_893,7.673828,0.98569137,0.11735535,7.673828,0.98569137,0.11735535
ligand_source_row_894,6.493164,0.9045552,0.3801104,6.493164,0.9045552,0.3801104
ligand_source_row_895,5.979492,0.81914735,0.08873876,5.979492,0.81914735,0.08873876
ligand_source_row_896,6.6464844,0.7308165,0.26070657,6.6464844,0.7308165,0.26070657
ligand_source_row_897,6.798828,0.4943467,0.023646036,6.798828,0.4943467,0.023646036
ligand_source_row_898,7.669922,0.73841465,0.19442241,7.669922,0.73841465,0.19442241
ligand_source_row_899,7.1240234,0.906882,0.24990208,7.1240234,0.906882,0.24990208
ligand_source_row_9,5.756836,0.01601881,0.13923518,5.756836,0.01601881,0.13923518
ligand_source_row_90,7.069336,0.25977904,0.24189632,7.069336,0.25977904,0.24189632
ligand_source_row_900,6.171875,0.7932406,0.15707397,6.171875,0.7932406,0.15707397
ligand_source_row_901,7.286133,0.81498456,0.24070613,7.286133,0.81498456,0.24070613
ligand_source_row_902,6.354492,0.50145483,0.29679742,6.354492,0.50145483,0.29679742
ligand_source_row_903,6.973633,0.9205745,0.30016455,6.973633,0.9205745,0.30016455
ligand_source_row_904,6.1757812,0.8079312,0.024861654,6.1757812,0.8079312,0.024861654
ligand_source_row_905,7.2617188,0.98785704,0.35503134,7.2617188,0.98785704,0.35503134
ligand_source_row_906,6.5820312,0.29797408,0.05532837,6.5820312,0.29797408,0.05532837
ligand_source_row_907,6.529297,0.5680462,0.38128152,6.529297,0.5680462,0.38128152
ligand_source_row_908,6.2285156,0.28992245,0.086878456,6.2285156,0.28992245,0.086878456
ligand_source_row_909,6.807617,0.7288215,0.11350886,6.807617,0.7288215,0.11350886
ligand_source_row_91,5.9345703,0.042529855,0.057539623,5.9345703,0.042529855,0.057539623
ligand_source_row_910,6.1308594,0.34744117,0.03925069,6.1308594,0.34744117,0.03925069
ligand_source_row_911,6.4589844,0.4977041,0.022486368,6.4589844,0.4977041,0.022486368
ligand_source_row_912,6.6816406,0.40477443,0.08819071,6.6816406,0.40477443,0.08819071
ligand_source_row_913,6.84375,0.5338166,0.26038614,6.84375,0.5338166,0.26038614
ligand_source_row_914,5.767578,0.10228479,0.47450256,5.767578,0.10228479,0.47450256
ligand_source_row_915,6.4101562,0.5024683,0.014933269,6.4101562,0.5024683,0.014933269
ligand_source_row_916,7.5859375,0.74688417,0.007537842,7.5859375,0.74688417,0.007537842
ligand_source_row_917,6.408203,0.3672063,0.059432983,6.408203,0.3672063,0.059432983
ligand_source_row_918,6.455078,0.92722917,0.04555766,6.455078,0.92722917,0.04555766
ligand_source_row_919,6.6035156,0.736028,0.18380229,6.6035156,0.736028,0.18380229
ligand_source_row_92,6.9248047,0.34973937,0.5368182,6.9248047,0.34973937,0.5368182
ligand_source_row_920,6.6435547,0.46636695,0.11455663,6.6435547,0.46636695,0.11455663
ligand_source_row_921,6.9697266,0.5249869,0.045464832,6.9697266,0.5249869,0.045464832
ligand_source_row_922,6.848633,0.5007207,0.083408356,6.848633,0.5007207,0.083408356
ligand_source_row_923,6.484375,0.4679342,0.06415812,6.484375,0.4679342,0.06415812
ligand_source_row_924,6.3583984,0.13787174,0.1054217,6.3583984,0.13787174,0.1054217
ligand_source_row_925,6.2285156,0.120444864,0.44501242,6.2285156,0.120444864,0.44501242
ligand_source_row_926,6.694336,0.089884154,0.015638987,6.694336,0.089884154,0.015638987
ligand_source_row_927,6.9541016,0.0535077,0.051069897,6.9541016,0.0535077,0.051069897
ligand_source_row_928,5.4960938,0.055060685,0.5526225,5.4960938,0.055060685,0.5526225
ligand_source_row_929,6.908203,0.643955,0.22576396,6.908203,0.643955,0.22576396
ligand_source_row_93,7.041992,0.30918556,0.35043716,7.041992,0.30918556,0.35043716
ligand_source_row_930,7.026367,0.9373437,0.27132544,7.026367,0.9373437,0.27132544
ligand_source_row_931,6.107422,0.5981091,0.44174704,6.107422,0.5981091,0.44174704
ligand_source_row_932,6.5791016,0.9669192,0.11875788,6.5791016,0.9669192,0.11875788
ligand_source_row_933,7.0820312,0.7901283,0.3315328,7.0820312,0.7901283,0.3315328
ligand_source_row_934,7.3183594,0.85560906,0.4861908,7.3183594,0.85560906,0.4861908
ligand_source_row_935,7.1679688,0.9451622,0.103037514,7.1679688,0.9451622,0.103037514
ligand_source_row_936,7.301758,0.8737709,0.30190405,7.301758,0.8737709,0.30190405
ligand_source_row_937,8.061523,0.989125,0.2227211,8.061523,0.989125,0.2227211
ligand_source_row_938,8.057617,0.96172345,0.037611645,8.057617,0.96172345,0.037611645
ligand_source_row_939,7.236328,0.9152961,0.10812887,7.236328,0.9152961,0.10812887
ligand_source_row_94,6.1347656,0.021704974,0.018295288,6.1347656,0.021704974,0.018295288
ligand_source_row_940,7.948242,0.92489964,0.07982763,7.948242,0.92489964,0.07982763
ligand_source_row_941,7.881836,0.62520134,0.18449275,7.881836,0.62520134,0.18449275
ligand_source_row_942,7.1728516,0.547175,0.041294098,7.1728516,0.547175,0.041294098
ligand_source_row_943,8.603516,0.97552705,0.0065663657,8.603516,0.97552705,0.0065663657
ligand_source_row_947,7.3183594,0.6686206,0.11256409,7.3183594,0.6686206,0.11256409
ligand_source_row_95,7.147461,0.42521223,0.19178645,7.147461,0.42521223,0.19178645
ligand_source_row_950,7.888672,0.95178026,0.26257834,7.888672,0.95178026,0.26257834
ligand_source_row_951,7.8515625,0.7219059,0.06774902,7.8515625,0.7219059,0.06774902
ligand_source_row_952,6.9521484,0.10102896,0.9507179,6.9521484,0.10102896,0.9507179
ligand_source_row_953,5.984375,0.017452653,0.27139282,5.984375,0.017452653,0.27139282
ligand_source_row_954,4.819824,0.003426308,0.5418914,4.819824,0.003426308,0.5418914
ligand_source_row_956,5.2216797,0.0048927027,0.19767635,5.2216797,0.0048927027,0.19767635
ligand_source_row_96,7.1289062,0.433851,0.6497701,7.1289062,0.433851,0.6497701
ligand_source_row_961,7.046875,0.33749533,0.22162883,7.046875,0.33749533,0.22162883
