ligand_id,log_ic50,IC50_uM,deltaG_kcalmol,binding_probability,error
L101,1.3683831691741943,23.355177332628006,6.317525357246399,0.43983516097068787,
L102,1.1002051830291748,12.59520333372412,6.683320130348206,0.3119136691093445,
L103,1.1218318939208984,13.238290101912755,6.653821296691895,0.24851742386817932,
L104,0.39366844296455383,2.475531420564888,7.647036243796349,0.6693236827850342,
L105,1.4271328449249268,26.738241709548035,6.237390799522401,0.3376913368701935,
L106,2.007716178894043,101.79259333891534,5.445475131988526,0.295975923538208,
L110,1.9509427547454834,89.3187743048607,5.522914082527161,0.14201205968856812,
L112,1.1927216053009033,15.585531071639974,6.557127730369569,0.44074714183807373,
L113,1.9029887914657593,79.98136126679658,5.588323288440705,0.11716927587985992,
L114,1.323455572128296,21.059864477581556,6.378806599617005,0.5203620791435242,
L115,0.7322463989257812,5.398168031393301,7.185215911865235,0.12962956726551056,
L116,0.39543771743774414,2.4856370712183704,7.644622953414918,0.30251023173332214,
L117,-0.3235701620578766,0.47471159313808886,8.625349701046945,0.49352848529815674,
L120,0.845409631729126,7.005024067148572,7.030861262321473,0.3252343535423279,
L122,1.4225146770477295,26.45542099708873,6.243689980506898,0.32169419527053833,
L123,1.3598263263702393,22.899517218146862,6.329196890830994,0.22065532207489014,
L124,0.8596905469894409,7.239199529676411,7.011382093906403,0.38837724924087524,
L125,0.5584970712661743,3.618237507082645,7.422209994792939,0.5685898661613464,
L126,-0.6106970310211182,0.24507723334664386,9.016990750312806,0.3798477053642273,
L127,0.3024088740348816,2.006360060769121,7.771514295816422,0.2887384295463562,
L129,-0.7481100559234619,0.17860349128038935,9.204422116279602,0.5566932559013367,
L130,0.41839760541915894,2.6205811055269472,7.613305666208268,0.4359051585197449,
L131,0.20167094469070435,1.591002802674964,7.90892083144188,0.22804126143455505,
L132,-0.5535584688186646,0.2795384361242489,8.93905375146866,0.34602612257003784,
L133,1.0798643827438354,12.018890617868598,6.711064981937409,0.329105019569397,
L134,0.6074976921081543,4.0503979270178005,7.355373147964478,0.3488301932811737,
L135,0.4759577512741089,2.991973559413398,7.534793627262116,0.3870450258255005,
L136,1.0435523986816406,11.054838406411227,6.760594528198243,0.24422350525856018,
L137,1.2247226238250732,16.77732138134243,6.5134783411026005,0.3773737847805023,
L139,0.22966796159744263,1.6969457621342547,7.870732900381089,0.19118674099445343,
L141,0.3813024163246155,2.4060376354255815,7.663903504133225,0.2152698040008545,
L142,0.3867377042770386,2.4363389270073643,7.65648977136612,0.338845431804657,
L143,1.1489821672439575,14.092309321849731,6.616788323879242,0.31821104884147644,
L144,0.7088597416877747,5.11516611145414,7.217115312337876,0.2842848598957062,
L145,1.0093191862106323,10.21690102464256,6.807288630008698,0.5591130256652832,
L146,0.263582706451416,1.8347745458221816,7.824473188400269,0.6683787107467651,
L150,0.1349174976348877,1.3643239331035872,7.999972533226014,0.21749046444892883,
L152,0.9596052169799805,9.111821785898487,6.875098484039307,0.4515343904495239,
L153,0.5186235904693604,3.300833288587148,7.476597422599793,0.5373075008392334,
L154,0.09387660026550293,1.2412995566232885,8.055952317237855,0.5515748858451843,
L155,0.7008083462715149,5.021209551379324,7.228097415685654,0.6174207925796509,
L156,1.3021461963653564,20.051469055104537,6.407872588157654,0.37058839201927185,
L158,1.2535498142242432,17.928741859128614,6.474158053398133,0.6510740518569946,
L160,1.342301368713379,21.99385556623228,6.353100933074952,0.36605262756347656,
L161,2.2186028957366943,165.42566750753465,5.157825650215149,0.1703372746706009,
L162,1.7256873846054077,53.17253730337885,5.830162407398224,0.19768719375133514,
L163,0.11184516549110413,1.2937345174651877,8.031443194270135,0.6163723468780518,
L164,0.2529233992099762,1.7902900551173333,7.839012483477593,0.49644792079925537,
L165,1.0500653982162476,11.221874261255884,6.751710796833039,0.4870496988296509,
L166,1.1620328426361084,14.52221434725081,6.598987202644349,0.45844388008117676,
L167,0.2048899233341217,1.6028390821803618,7.904530144572258,0.45340049266815186,
L168,0.8801695704460144,7.5887381976319865,6.983448705911637,0.49956637620925903,
L169,1.7305691242218018,53.77360147428888,5.823503714561463,0.2111574113368988,
L170,0.05350832641124725,1.1311190752466043,8.111014642775059,0.6267507076263428,
L171,1.3925679922103882,24.692666577256865,6.284537258625031,0.31856292486190796,
L172,0.7266234755516052,5.328727054064858,7.192885579347611,0.5235985517501831,
L173,0.7461279630661011,5.573499455884163,7.1662814583778385,0.5682812929153442,
L174,1.2095952033996582,16.202991471169018,6.534112142562867,0.25356432795524597,
L175,0.2174374908208847,1.6498235206695586,7.887415262520314,0.1630437970161438,
L177,0.5160708427429199,3.281488168563502,7.4800793704986575,0.27252355217933655,
L178,0.6785258650779724,4.770082222339522,7.258490720033646,0.24014553427696228,
L179,0.6445062756538391,4.4106873661874495,7.304893440008164,0.21206815540790558,
L180,0.824547529220581,6.6764796440935825,7.059317170143128,0.1468910276889801,
L181,0.33861297369003296,2.1807856145156626,7.722131903886796,0.21127736568450928,
L182,1.4057531356811523,25.453829791687095,6.266552722930909,0.40579766035079956,
L185,0.6428295969963074,4.393691874596772,7.307180429697037,0.126589834690094,
L187,0.7275598645210266,5.340228798989174,7.191608344793321,0.22014084458351135,
L188,1.8686165809631348,73.89525990252336,5.635206983566285,0.2384016513824463,
L189,1.0262024402618408,10.621905670057046,6.78425987148285,0.11295833438634872,
L190,1.8895014524459839,77.535653644252,5.606720018863679,0.2516438961029053,
L191,1.778360366821289,60.0288974601478,5.758316459655762,0.19375774264335632,
L192,1.561255693435669,36.41293563343565,6.054447234153748,0.10264968872070312,
L197,0.2332838773727417,1.7111334350812692,7.865800791263581,0.6132876873016357,
L198,0.6653196215629578,4.627214386658352,7.276504036188126,0.32612693309783936,
L199,0.3956078588962555,2.4866110480607273,7.644390880465508,0.4058223366737366,
L200,-0.5708256959915161,0.2686422424454634,8.96260624933243,0.6847023963928223,
L201,0.15775293111801147,1.437980282666857,7.968825001955033,0.3445252776145935,
L202,1.2255507707595825,16.809344221708,6.51234874868393,0.1453951746225357,
L203,0.9354271292686462,8.618409573654581,6.908077395677567,0.157647505402565,
L204,0.7813263535499573,6.044026412561545,7.118270853757859,0.28736960887908936,
L206,0.3821840286254883,2.4109268221840146,7.662700984954834,0.19455961883068085,
L207,0.9389654397964478,8.688912820701166,6.9032511401176455,0.12990567088127136,
L208,0.4918261170387268,3.10331683238798,7.513149176359177,0.19007515907287598,
L209,0.44007205963134766,2.7546857323346092,7.583741710662842,0.21879519522190094,
L210,0.6134436130523682,4.106233228286105,7.34726291179657,0.2570692002773285,
L211,0.7245885133743286,5.303816784795214,7.1956612677574165,0.21380910277366638,
L212,0.6327230930328369,4.29262640834989,7.320965701103211,0.2034856230020523,
L213,0.6880792379379272,4.87617448812722,7.245459919452668,0.17576450109481812,
L215,1.4013745784759521,25.19849357849824,6.272525074958802,0.20986872911453247,
L216,0.45625075697898865,2.859240961947563,7.56167396748066,0.13832589983940125,
L217,0.4549153447151184,2.8504625840859497,7.563495469808579,0.18698695302009583,
L218,0.3617786169052124,2.3002689485475454,7.690533966541291,0.22242939472198486,
L219,0.7431506514549255,5.535420929111007,7.170342511415482,0.15509715676307678,
L220,0.44164103269577026,2.7646555670601414,7.58160163140297,0.16904418170452118,
L222,0.514210045337677,3.267458236866238,7.482617498159409,0.21948015689849854,
L225,0.9092427492141724,8.114144718287818,6.94379289007187,0.15874561667442322,
L226,0.7233675718307495,5.288926988868067,7.197326632022858,0.29074087738990784,
L227,1.3622214794158936,23.0261579498723,6.325929902076721,0.30995213985443115,
L228,0.9796649813652039,9.542561802989217,6.847736965417862,0.2221422642469406,
L229,0.8311535120010376,6.7788107890528275,7.050306609630585,0.212900310754776,
L230,0.9467636346817017,8.8463401561236,6.89261440229416,0.2128932774066925,
