ligand_id,log_ic50,IC50_uM,deltaG_kcalmol,binding_probability,error
L100,0.04482439160346985,1.1087264074558245,8.122859529852867,0.6312336921691895,
L101,0.11542350053787231,1.3044381761551738,8.026562345266342,0.662072479724884,
L102,0.5741494297981262,3.751020432144427,7.400860177755356,0.44473934173583984,
L103,0.17939212918281555,1.5114442375908013,7.93930913579464,0.631860613822937,
L104,1.1785298585891724,15.08446315589569,6.576485272884369,0.477083683013916,
L105,0.7558900713920593,5.700199705785995,7.152965942621232,0.5306925773620605,
L106,0.9058362245559692,8.050747846940611,6.948439389705658,0.41124022006988525,
L107,0.21779172122478485,1.6511697409880828,7.886932092249394,0.6378727555274963,
L108,0.6063781380653381,4.039969980704374,7.356900219678879,0.5152799487113953,
L109,0.746425449848175,5.577318547507292,7.16587568640709,0.5899007320404053,
L110,0.7183051109313965,5.227633241950529,7.204231828689576,0.23815295100212097,
L111,0.7925269603729248,6.201931431515587,7.102993226051331,0.386536568403244,
L112,1.0388565063476562,10.93594975853846,6.7669997253417975,0.5128839015960693,
L113,0.0017800629138946533,1.0041071576789335,8.181571994185449,0.633892834186554,
L114,1.0228291749954224,10.539722463432234,6.788861005306244,0.5240447521209717,
L115,0.39948517084121704,2.5089105102499794,7.639102226972581,0.6101077795028687,
L116,0.994392454624176,9.871711499362844,6.827648691892624,0.21178609132766724,
L117,0.27719229459762573,1.8931816859975417,7.805909710168839,0.4586818516254425,
L118,0.6058818101882935,4.035355590091807,7.357577210903168,0.5825207233428955,
L119,0.4018416404724121,2.5225607875601113,7.635888002395631,0.5091360211372375,
L120,0.9441941380500793,8.794155447704563,6.896119195699693,0.4776512384414673,
L121,0.30446383357048035,2.0158760890095646,7.768711331009865,0.48995620012283325,
L122,1.1070863008499146,12.796355617395898,6.673934285640717,0.5085089206695557,
L123,0.41204872727394104,2.58254993311116,7.621965535998345,0.5545134544372559,
L124,0.5310900211334229,3.3969567786177017,7.4595932111740115,0.4945637583732605,
L125,0.9757283926010132,9.45645570460724,6.853106472492218,0.37169477343559265,
L126,0.11245797574520111,1.2955613272075972,8.030607321083547,0.4694107174873352,
L127,0.08085550367832184,1.2046350734379003,8.07371309298277,0.5606914758682251,
L128,0.647657036781311,4.442802798762802,7.300595801830292,0.5431479811668396,
L129,0.8375746607780457,6.879781743936894,7.041548162698747,0.42005038261413574,
L130,1.031426191329956,10.750438803598332,6.77713467502594,0.45638763904571533,
L131,-0.20751357078552246,0.6201352654334281,8.467048510551454,0.4712373614311218,
L132,0.4828038513660431,3.03951192334032,7.525455546736718,0.45835787057876587,
L133,-0.3517118990421295,0.4449263234683335,8.663735030293465,0.3991110920906067,
L134,0.021680563688278198,1.0511884095412427,8.15442771112919,0.3879605531692505,
L135,0.024207770824432373,1.0573232222409543,8.150980600595474,0.37956053018569946,
L136,0.3815422058105469,2.4073664615018444,7.663576431274414,0.27878203988075256,
L137,1.1797294616699219,15.126186879454071,6.574849014282227,0.536352276802063,
L138,1.104112148284912,12.709022491576127,6.67799102973938,0.5428959131240845,
L139,0.9626005291938782,9.174882882692463,6.871012878179551,0.47009527683258057,
L140,1.0903794765472412,12.313442212018584,6.696722393989564,0.5059986114501953,
L141,1.2668251991271973,18.485244494410342,6.456050428390504,0.5428121089935303,
L142,1.1744202375411987,14.942395853478208,6.582090795993805,0.5433812737464905,
L143,1.2760348320007324,18.881427789579707,6.443488489151002,0.5359845161437988,
L144,1.0056252479553223,10.130368605190455,6.812327161788941,0.5477062463760376,
L145,1.258421778678894,18.131000867412478,6.467512693881989,0.516600489616394,
L146,1.108116626739502,12.826749897891837,6.67252892112732,0.5427258610725403,
L147,1.0451617240905762,11.095879305540718,6.758399408340455,0.5430072546005249,
L148,1.105764627456665,12.757472106851871,6.675737048149109,0.4996086061000824,
L149,1.25850510597229,18.134479963369234,6.467399035453797,0.5397915840148926,
L150,-0.12727561593055725,0.7459751905674875,8.35760394012928,0.3476187288761139,
L151,0.5352296829223633,3.429491121954152,7.453946712493897,0.22939369082450867,
L152,1.0965888500213623,12.490759603261598,6.688252808570862,0.267036497592926,
L153,0.755898654460907,5.7003123613504165,7.152954235315323,0.30196648836135864,
L154,1.0987460613250732,12.552957582944432,6.685310372352601,0.3110530972480774,
L155,0.507149875164032,3.2147697653020137,7.492247570276261,0.40247732400894165,
L156,0.7922823429107666,6.198439161603681,7.103326884269715,0.6185374855995178,
L157,0.15622606873512268,1.4329336080120711,7.970907642245293,0.5005360245704651,
L158,0.26187798380851746,1.827586678660908,7.826798430085183,0.4544113874435425,
L159,0.5972403287887573,3.9558546760161586,7.369364191532136,0.517477810382843,
L160,0.29365074634552,1.9663043787551913,7.783460381984711,0.5873035192489624,
L161,-0.02271944284439087,0.9490313459474226,8.21498932003975,0.6024770736694336,
L162,0.03806781768798828,1.0916107847110135,8.132075496673584,0.5670098066329956,
L163,-0.5136418342590332,0.3064489698233009,8.884607461929322,0.23704327642917633,
L164,-0.920747697353363,0.12001963527013472,9.439899859189987,0.43576914072036743,
L165,-1.142380952835083,0.07204752181213211,9.742207619667054,0.5641186237335205,
L166,-0.29639288783073425,0.5053672707693055,8.588279899001122,0.5260257720947266,
L167,-0.9406306743621826,0.11464875042257847,9.467020239830017,0.6668960452079773,
L168,0.45261457562446594,2.8354015708214693,7.566633718848229,0.4110904932022095,
L169,-0.6306981444358826,0.23404634081577183,9.044272269010545,0.28819745779037476,
L170,0.5973892211914062,3.9572111235612835,7.369161102294923,0.45701688528060913,
L171,-0.27228307723999023,0.5342160388366342,8.555394117355346,0.49717429280281067,
L172,0.4293513596057892,2.6875178634183112,7.598364745497704,0.43413031101226807,
L173,-0.1332458108663559,0.7357905218582674,8.36574728602171,0.4543026089668274,
L174,0.9112889170646667,8.152464513569122,6.941001917123795,0.4420121908187866,
L175,0.4829121232032776,3.0402697836855745,7.52530786395073,0.4793561100959778,
L176,0.289108008146286,1.9458439488481265,7.789656676888466,0.3697420656681061,
L177,-0.06524720788002014,0.8605037992075516,8.272997191548349,0.3839978575706482,
L178,-0.14375537633895874,0.7181987148499899,8.38008233332634,0.4159334599971771,
L179,-0.15907493233680725,0.6933061739790248,8.400978207707405,0.524135410785675,
L180,0.5159435272216797,3.280526325477158,7.48025302886963,0.3835219740867615,
