ligand_id,log_ic50,IC50_uM,deltaG_kcalmol,binding_probability,error
L100,-1.2714403867721558,0.05352536200654842,9.918244687557221,0.9418762922286987,
L101,-0.20033513009548187,0.6304706442353828,8.457257117450238,0.7673463821411133,
L102,-1.1142195463180542,0.076874172458987,9.703795461177826,0.8876379728317261,
L103,1.098496913909912,12.545758228293037,6.68565020942688,0.5334721803665161,
L105,1.2547409534454346,17.97798250420339,6.472533339500428,0.55294269323349,
L106,-0.30354708433151245,0.49711047623338567,8.598038223028183,0.8481771349906921,
L107,-0.8469990491867065,0.1422331901071201,9.339306703090669,0.7789368629455566,
L108,1.324413776397705,21.106381140663373,6.3774996089935305,0.5423774719238281,
L109,-0.6321793794631958,0.23324944579970872,9.0462926735878,0.8257215023040771,
L110,-1.1356635093688965,0.07317057883231141,9.733045026779175,0.9166706800460815,
L111,-1.3517634868621826,0.04448734758801291,10.027805396080018,0.8983651399612427,
L112,-0.247246652841568,0.5659177908786026,8.5212444344759,0.504698634147644,
L113,1.266523838043213,18.47242185630397,6.456461484909058,0.47128167748451233,
L114,-0.36354419589042664,0.43296800459427304,8.679874283194543,0.8172852993011475,
L115,-1.314673662185669,0.04845363213926121,9.977214875221254,0.9395524263381958,
L116,0.20755362510681152,1.6127001454066603,7.9008968553543095,0.5060944557189941,
L117,-0.8890427350997925,0.12910922223338334,9.396654290676118,0.9307572841644287,
L118,-1.151442527770996,0.07055982129988018,9.75456760787964,0.824856162071228,
L119,-0.7922438979148865,0.1613452194526231,9.264620676755905,0.9189764261245728,
L120,1.0804011821746826,12.033755468360217,6.7103327875137335,0.3934572637081146,
L121,-1.1040008068084717,0.07870443275659504,9.689857100486757,0.9168903827667236,
L122,-0.7004330158233643,0.1993273918581086,9.13939063358307,0.7503206729888916,
L123,-1.6269397735595703,0.023608055987480066,10.403145851135255,0.9422898292541504,
L124,-1.4694111347198486,0.033930391076061425,10.188276787757875,0.9367832541465759,
L125,-0.6916215419769287,0.20341288433725133,9.127371783256532,0.8783212900161743,
L126,-0.6231423616409302,0.23815386735109825,9.03396618127823,0.7872802019119263,
L127,-0.45916423201560974,0.34740476264344194,8.810300012469293,0.8333536386489868,
L128,-0.5188946723937988,0.30276476216559295,8.891772333145143,0.8727552890777588,
L129,-0.5742590427398682,0.2665268443102732,8.967289334297181,0.830866813659668,
L130,-0.7839338779449463,0.164462210059633,9.253285809516907,0.9216749668121338,
L131,-0.469513475894928,0.3392239634638554,8.824416381120683,0.793044924736023,
L132,0.4420994818210602,2.7675755284881833,7.5809763067960745,0.5321210622787476,
L133,-1.828501582145691,0.014842204730023123,10.678076158046723,0.9779306650161743,
L134,-1.5996840000152588,0.025137147875037655,10.365968976020813,0.9382374286651611,
L135,-0.07790866494178772,0.8357787696610848,8.2902674189806,0.7702285051345825,
L136,1.0422282218933105,11.021183209334751,6.762400705337525,0.5826789736747742,
L137,-1.4793751239776611,0.03316079058686138,10.20186766910553,0.9704412221908569,
L138,-0.5484582185745239,0.28284062055908743,8.932097010135651,0.8215800523757935,
L139,-0.41577649116516113,0.383904770525028,8.751119133949281,0.804937481880188,
L140,-0.39075934886932373,0.40666860983378367,8.716995751857759,0.7991258502006531,
L141,1.3565361499786377,22.726688007168928,6.333684691429139,0.5904041528701782,
L142,0.12118010967969894,1.321843712730267,8.01871033039689,0.42315930128097534,
L143,0.3263747990131378,2.1201900840168078,7.738824774146081,0.5269467830657959,
L144,0.26615822315216064,1.8456877218479815,7.820960183620453,0.7933251857757568,
L145,-0.44025567173957825,0.3628643714684206,8.784508736252786,0.871453046798706,
L146,-1.4513046741485596,0.035374908553326416,10.163579575538636,0.9495421648025513,
L147,-1.05072021484375,0.08897741516832433,9.617182373046875,0.9408289790153503,
L148,-0.3545151650905609,0.4420636802236097,8.667558685183526,0.7556300759315491,
L149,-0.9603928327560425,0.10954868462113898,9.493975823879243,0.9009101390838623,
L150,-1.707380771636963,0.019616396372597825,10.512867372512819,0.9612637758255005,
L151,-0.25298798084259033,0.5584856506874407,8.529075605869293,0.78702712059021,
L152,0.022263765335083008,1.0526009686418467,8.153632224082948,0.7110779285430908,
L153,-1.9592399597167969,0.010983987760253507,10.856403305053712,0.9639725685119629,
L154,-0.17751000821590424,0.6644923596585716,8.426123651206494,0.8540610074996948,
