ligand_id,log_ic50,IC50_uM,deltaG_kcalmol,binding_probability,error
L1,0.771449089050293,5.908117025534513,7.1317434425354005,0.5059140920639038,
L2,0.6661000847816467,4.635537351133909,7.275439484357834,0.5449991822242737,
L3,1.171633243560791,14.84681317308214,6.585892255783081,0.5173113942146301,
L4,1.027305245399475,10.648912177826718,6.782755645275117,0.5186009407043457,
L5,0.6332181692123413,4.2975225996082465,7.320290417194367,0.605536937713623,
L7,1.0959842205047607,12.473381930945745,6.689077523231507,0.5307440161705017,
L6,1.1612950563430786,14.497564724737668,6.599993543148042,0.556191623210907,
L8,0.18937215209007263,1.5465791538871878,7.925696384549141,0.5906658172607422,
L9,1.2127360105514526,16.320595855658446,6.529828081607819,0.5685592293739319,
L10,0.933535099029541,8.580944618294515,6.910658124923707,0.5738776326179504,
L11,0.7884623408317566,6.144157512927075,7.108537367105485,0.5311149954795837,
L12,0.9773349165916443,9.491501410038738,6.850915173768998,0.5149405002593994,
L13,1.2153704166412354,16.419896551038406,6.526234751701355,0.5513046979904175,
L14,0.8008569478988647,6.322035757707444,7.091631123065949,0.5631351470947266,
L15,0.8244097232818604,6.674361467080907,7.059505137443543,0.6155310869216919,
L16,0.8549271821975708,7.1602334509587315,7.017879323482514,0.3153999447822571,
L17,0.733623743057251,5.415315238944954,7.18333721446991,0.5626583695411682,
L18,0.8407394289970398,6.930098843981657,7.037231418848038,0.35345736145973206,
L19,1.1987473964691162,15.803285878037842,6.548908551216126,0.47185951471328735,
L20,0.8870288729667664,7.709547223293887,6.974092617273331,0.5556744337081909,
L21,1.255447506904602,18.007254679262463,6.471569600582123,0.4602510631084442,
L22,1.1141034364700317,13.004792779574124,6.664362912654878,0.4234914183616638,
L23,0.9528121948242188,8.970407966262798,6.8843641662597665,0.4039899706840515,
L24,1.4178266525268555,26.171381760553714,6.2500844459533695,0.48845046758651733,
L25,0.5217105746269226,3.3243793399041333,7.472386776208878,0.5079529881477356,
L26,1.3273996114730835,21.251990420351035,6.373426929950715,0.4500195384025574,
L27,0.7618873715400696,5.779461453732458,7.144785625219345,0.3992461562156677,
L28,0.46860915422439575,2.9417729769097503,7.544817113637925,0.5288404226303101,
L29,0.7836893796920776,6.077002005796284,7.115047686100007,0.5074445009231567,
L30,0.7286019325256348,5.353057797450277,7.190186964035035,0.5413128733634949,
L31,0.5770703554153442,3.7763336232232163,7.396876035213471,0.30695486068725586,
L32,0.893520712852478,7.825655271567311,6.965237747669221,0.3181833028793335,
L33,0.7819778323173523,6.05309977142967,7.117382236719132,0.46673357486724854,
L34,0.8054680824279785,6.38951777187293,7.085341535568237,0.43609175086021423,
L35,0.3491800129413605,2.2344982195039065,7.707718462347985,0.5978239178657532,
L36,0.5755913257598877,3.763494847241176,7.398893431663514,0.5714480876922607,
L37,0.3354032635688782,2.1647276458017686,7.72650994849205,0.5101995468139648,
L38,1.15277099609375,14.21578989460289,6.611620361328126,0.30871838331222534,
L39,0.22730669379234314,1.687744470474524,7.8739536696672445,0.5994960069656372,
L40,0.269840806722641,1.8614047024078357,7.815937139630318,0.5873225927352905,
L41,0.5431963205337524,3.4929817819760562,7.4430802187919625,0.481336385011673,
L42,0.7940036058425903,6.223054520001488,7.100979081630707,0.4378470480442047,
L43,0.44680172204971313,2.7977037311923674,7.574562451124192,0.6682196855545044,
L44,0.7484729290008545,5.603674867325849,7.163082924842835,0.6092479825019836,
L45,0.38723838329315186,2.439149294715542,7.655806845188142,0.5809401273727417,
L46,0.4464571177959442,2.795484688007876,7.575032491326333,0.5541972517967224,
L47,0.012473449110984802,1.029137608242369,8.166986215412617,0.631182074546814,
L48,0.8110700845718384,6.472470572618975,7.077700404644013,0.3922296166419983,
L49,0.8117431998252869,6.4825100662043695,7.076782275438309,0.5727750062942505,
L50,0.6002593040466309,3.9834493923061043,7.365246309280396,0.5187602043151855,
L51,0.5250838994979858,3.350301559528251,7.467785561084748,0.51893550157547,
L52,0.47207796573638916,2.965363691964834,7.540085654735566,0.6060903072357178,
L53,0.6250203847885132,4.217162973613705,7.331472195148469,0.4863274097442627,
L54,0.23460261523723602,1.716337198909588,7.864002032816411,0.6161945462226868,
L55,0.9350649118423462,8.611224502683726,6.908571460247041,0.530288577079773,
L56,0.8655535578727722,7.337591971674691,7.003384947061539,0.5642477869987488,
L57,0.7051282525062561,5.07140450980773,7.222205063581467,0.5027750134468079,
L58,0.23427215218544006,1.715031701567085,7.86445278441906,0.6007005572319031,
L59,1.0003702640533447,10.008529280261131,6.819494959831238,0.4996267557144165,
L60,-0.009866029024124146,0.977538725176976,8.197457263588905,0.5533868074417114,
L61,0.8704861402511597,7.421405132444327,6.996656904697419,0.5263283848762512,
L62,0.9248900413513184,8.411821364948562,6.9224499835968025,0.5048758387565613,
L63,1.1466463804244995,14.016719436014421,6.619974337100984,0.5386905670166016,
L64,0.890830397605896,7.777327684580515,6.968907337665558,0.4460548460483551,
L65,1.1752592325210571,14.971290331509367,6.580946406841279,0.559902012348175,
L66,0.4189590811729431,2.6239713035719423,7.612539813280106,0.4260784983634949,
L67,0.7682752013206482,5.865097030028244,7.136072625398636,0.3389285206794739,
L68,0.950312614440918,8.918927105415998,6.887773593902589,0.506942629814148,
L69,1.3059741258621216,20.228986560372626,6.402651292324067,0.568164587020874,
L70,0.35124868154525757,2.2451671618866063,7.704896798372269,0.4343335032463074,
L71,1.2588551044464111,18.14910045433066,6.466921637535096,0.5242013335227966,
L72,1.38970148563385,24.53022239640972,6.288447173595429,0.5614174008369446,
L73,1.043222188949585,11.04643620937502,6.761044934272767,0.4958142638206482,
L74,1.1355890035629272,13.664350818490467,6.635056599140167,0.4677896499633789,
L75,0.17136800289154053,1.4837748410502616,7.9502540440559395,0.5322893857955933,
L76,0.4756566882133484,2.9899001723250485,7.535204277276994,0.18494080007076263,
L77,0.4457269310951233,2.7907885410061786,7.576028465986252,0.24529629945755005,
L78,0.1406518667936325,1.382457747804789,7.992150853693486,0.28288787603378296,
L79,0.17399421334266663,1.4927745193143758,7.9466718930006035,0.2669752240180969,
L80,-0.045340150594711304,0.9008652803895794,8.245843965411186,0.232581228017807,
L81,0.7806321978569031,6.034373643845222,7.1192176821231845,0.18027208745479584,
L82,0.04561854898929596,1.1107556959771379,8.1217762991786,0.2293613851070404,
L83,0.3516400456428528,2.247191304227169,7.704362977743149,0.2544265687465668,
L84,0.5239856839179993,3.3418402380338614,7.4692835271358495,0.2741808593273163,
L85,0.6136325597763062,4.108020099056964,7.347005188465119,0.261452853679657,
L86,0.5663781762123108,3.6844967367087125,7.411460167646409,0.4390018880367279,
