pValue,smiles,data
5.84,C=C1C=C(C)CC(C)(C)C1Cc1cc(OC)c(Br)cc1O,AR_ki
5.2,C=C1C(C)=CCC(C)(C)[C@@H]1Cc1cc(OC)c(Br)cc1OC(C)=O,AR_ki
5.8,C=C1C=C(C)C(Cc2cc(OC)c(Br)cc2O)C(C)(C)C1,AR_ki
6.04,CCCCC1Oc2ccc(C)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,AR_ki
6.11,CCCCC1Oc2ccc(OC)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,AR_ki
5.88,CCCCC1Oc2ccc(F)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,AR_ki
6.21,CC1=CC(C)(C)Nc2ccc3c(c21)C(C)Oc1ccc(Cl)cc1-3,AR_ki
6.05,CCCCC1Oc2ccc(Cl)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,AR_ki
6.34,CC1=CC(C)(C)Nc2ccc3c(c21)C(C)Oc1ccc(F)cc1-3,AR_ki
5.83,CC1=CC(C)(C)Nc2ccc3c(c21)C(CCC(C)C)Oc1ccccc1-3,AR_ki
6.16,CCCOC1Oc2ccc(Cl)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,AR_ki
5.69,CCCCC1Oc2ccccc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,AR_ki
6.05,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1cc(F)ccc1F)Oc1ccccc1-3,AR_ki
5.58,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1)Oc1ccccc1-3,AR_ki
9.52,C[C@](O)(CBr)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,AR_ki
7.09,C[C@](O)(CBr)C(=O)Nc1ccc(N)c(C(F)(F)F)c1,AR_ki
6.1,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1cccc(F)c1)Oc1ccccc1-3,AR_ki
6.07,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1C)Oc1ccccc1-3,AR_ki
7.78,C[C@@](O)(CBr)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,AR_ki
5.85,CC1=CC(C)(C)Nc2ccc3c(c21)C(c1ccccc1)Oc1ccc(Cl)cc1-3,AR_ki
5.58,COc1cccc2c1-c1ccc3c(c1C(c1ccccc1)O2)C(C)=CC(C)(C)N3,AR_ki
5.47,COc1cccc2c1-c1ccc3c(c1C(c1cccc(C(F)(F)F)c1)O2)C(C)=CC(C)(C)N3,AR_ki
5.51,COc1cccc2c1-c1ccc3c(c1C(c1cccc(OCSC)c1)O2)C(C)=CC(C)(C)N3,AR_ki
5.51,COc1cccc2c1-c1ccc3c(c1C(c1cccc(OC(=O)N(C)C)c1)O2)C(C)=CC(C)(C)N3,AR_ki
5.79,O=C1[C@@H]2C3CCC(C3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1,AR_ki
7.26,O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])c(C(F)(F)F)c1,AR_ki
8.3,O=C1[C@@H]2C3CCC(C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])c(C(F)(F)F)c1,AR_ki
7.34,O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc(Br)c(C(F)(F)F)c1,AR_ki
6.9,Cc1cc(N2C(=O)[C@@H]3C4C=CC(C4)[C@@H]3C2=O)ccc1Br,AR_ki
6.75,O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc(F)c(Cl)c1,AR_ki
6.4,Cc1ccc(N2C(=O)[C@@H]3C4C=CC(C4)[C@@H]3C2=O)cc1C,AR_ki
9,O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])c2ccccc12,AR_ki
6.4,O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1cc(C(F)(F)F)cc(C(F)(F)F)c1,AR_ki
6.8,O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1cc(Cl)cc(Cl)c1,AR_ki
6.28,O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc2cccnc2c1,AR_ki
6.55,O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc2ccccc2c1,AR_ki
