pValue,ligand,data
6.6,C=C(C)N1c2ccccc2SC1c1cc(OC)ccc1OCCCN(C)CCOc1ccc2c(c1)OCO2,CYP3a4_ki
5.1,CNCCCC(C#N)(c1ccc(OC)c(OC)c1)C(C)C,CYP3a4_ki
0,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,CYP3a4_ki
5.68,COc1ccc(CCNCCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,CYP3a4_ki
5.29,COc1ccc(CCN(C)CCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,CYP3a4_ki
0,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2cc3c(cc2CCN1C)OCO3,CYP3a4_ki
6.58,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,CYP3a4_ki
6.39,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,CYP3a4_ki
10.59,Cl.Cn1c(=O)c2c(cc(N3CCC[C@H](N)C3)n2Cc2cc(F)ccc2C#N)n(C)c1=O,CYP3a4_ki
10.66,CC[C@]1(N)CCCN(c2cc3c(c(=O)n(C)c(=O)n3C)n2Cc2cc(F)ccc2C#N)C1,CYP3a4_ki
5.16,CC1(C)C=Cc2c(ccc3c2OC[C@@H](c2ccc(O)cc2O)C3)O1,CYP3a4_ki
5.54,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,CYP3a4_ki
5.51,COc1ccc(NC(=O)c2cc(-c3ccccc3)nc3ccccc23)cc1,CYP3a4_ki
4.84,CN(C)c1ccc(NC(=O)c2cc(-c3ccccc3)nc3ccccc23)cc1,CYP3a4_ki
5.39,O=C(Nc1ccccc1)c1cc(-c2ccccc2)nc2ccccc12,CYP3a4_ki
